offset,file,text_en,byte_budget
scena/mp6012.dat:0x1e15c,scena/mp6012.dat,<T><W500>Morning? Already?,27
scena/mp6012.dat:0x1e232,scena/mp6012.dat,Where...am I?,14
scena/mp6012.dat:0x1e25d,scena/mp6012.dat,Right. The complex got hit.,28
scena/mp6012.dat:0x1e2eb,scena/mp6012.dat,"Anelace, wake up!",18
scena/mp6012.dat:0x1e315,scena/mp6012.dat,<W800>Ooh... Tee hee hee...,28
scena/mp6012.dat:0x1e341,scena/mp6012.dat,"<W800>Fluffy bunny. Ooh, and fluffy bear.",42
scena/mp6012.dat:0x1e37f,scena/mp6012.dat,<W800>Fluffy-wuffy stuffed animals everywhere...,49
scena/mp6012.dat:0x1e3c0,scena/mp6012.dat,Sounds like one heck of a dream.,33
scena/mp6012.dat:0x1e3f1,scena/mp6012.dat,"Anelace, wake up! We've got a situation!",41
scena/mp6012.dat:0x1e480,scena/mp6012.dat,"<W800>Oh, that you, Estelle?",29
scena/mp6012.dat:0x1e4b2,scena/mp6012.dat,Did I sleep in?,16
scena/mp6012.dat:0x1e4c2,scena/mp6012.dat,"<W800>Ah, right. Our morning sparring sesh.",44
scena/mp6012.dat:0x1e503,scena/mp6012.dat,Ugh... If only that were the case.,35
scena/mp6012.dat:0x1e53a,scena/mp6012.dat,Snap to it already! This is an emergency!,42
scena/mp6012.dat:0x1e606,scena/mp6012.dat,...Wait. What in the world?,28
scena/mp6012.dat:0x1e63b,scena/mp6012.dat,Was the attack yesterday all a dream?,38
scena/mp6012.dat:0x1e675,scena/mp6012.dat,I wish I could say it was.,27
scena/mp6012.dat:0x1e6a5,scena/mp6012.dat,that is definitely not the case.,33
scena/mp6012.dat:0x1e6c6,scena/mp6012.dat,"But seeing as we both remember it,",35
scena/mp6012.dat:0x1e6fd,scena/mp6012.dat,"Ooh, good point.",17
scena/mp6012.dat:0x1e722,scena/mp6012.dat,"Aw, dang... I totally lost that round, huh?",44
scena/mp6012.dat:0x1e763,scena/mp6012.dat,"Still half asleep, I see, Anelace.",35
scena/mp6012.dat:0x1e7bf,scena/mp6012.dat,Saint-Croix Forest,19
scena/mp6012.dat:0x1e7e0,scena/mp6012.dat,Okey doke. Time for some mental backtracking.,46
scena/mp6012.dat:0x1e840,scena/mp6012.dat,"most likely jaegers, hit the barracks.",39
scena/mp6012.dat:0x1e867,scena/mp6012.dat,"Last night, an armed organization,",35
scena/mp6012.dat:0x1e89a,scena/mp6012.dat,Then one of those goons burst through the window.,50
scena/mp6012.dat:0x1e8cc,scena/mp6012.dat,We rushed to the scene to find Kurt injured.,45
scena/mp6012.dat:0x1e909,scena/mp6012.dat,and conked out.,16
scena/mp6012.dat:0x1e919,scena/mp6012.dat,"We fought, got hit with sleeping gas,",38
scena/mp6012.dat:0x1e94e,scena/mp6012.dat,"Yeah, that tracks with my version of events.",45
scena/mp6012.dat:0x1e99a,scena/mp6012.dat,How the heck did we end up here?,33
scena/mp6012.dat:0x1e9bb,scena/mp6012.dat,Which brings us to our current dilemma...,42
scena/mp6012.dat:0x1ea01,scena/mp6012.dat,"Yeah, that is a big head-scratcher.",36
scena/mp6012.dat:0x1ea38,scena/mp6012.dat,"Plus, our inventory seems to be intact...",42
scena/mp6012.dat:0x1ea72,scena/mp6012.dat,...except for the gear we used for training.,45
scena/mp6012.dat:0x1eaae,scena/mp6012.dat,...except for the gear we used last night.,43
scena/mp6012.dat:0x1eae8,scena/mp6012.dat,"Whoa, you're right.",20
scena/mp6012.dat:0x1eb14,scena/mp6012.dat,"Who hauled us here, then? Could it be...",41
scena/mp6012.dat:0x1eb78,scena/mp6012.dat,"Hm. Not likely, in my opinion.",31
scena/mp6012.dat:0x1ebac,scena/mp6012.dat,of us to safety while under heavy fire.,40
scena/mp6012.dat:0x1ebd4,scena/mp6012.dat,Not even Kurt could lug the both,33
scena/mp6012.dat:0x1ec16,scena/mp6012.dat,Good point...,14
