offset,text_source,byte_budget
0x1c0335,Rugged man,10
0x1c0340,...Not bad.,11
0x1c034c,Same to you.,12
0x1c0359,Uzurushan commander,19
0x1c036d,What are you doing!? Hurry and kill them all!\n,47
0x1c039d,Whatever it takes! Or will you let the hostages\n,49
0x1c03cf,die!?,5
0x1c03d5,...I'm not gonna ask you folks for forgiveness.\n,49
0x1c0407,"Curse my name all you like, if it helps.",40
0x1c0430,So that's how it's going to be...,33
0x1c0452,That's right. Kill them!,24
0x1c046b,My name is Kuon. Do you mind...\n,33
0x1c048d,telling me your name?,21
0x1c04a3,...It's Jachdwalt.,18
0x1c04b6,I see. Figures. So you're the master swordsman\n,48
0x1c04e7,Jachdwalt...,12
0x1c04f4,"Kuon, you know this man!?",25
0x1c050e,Indirectly. I've heard he's quite famous among\n,48
0x1c053f,students of swordplay.,22
0x1c0556,The Mikado held a tournament three years ago.\n,47
0x1c0586,A foreign swordsman beat the guards and forced\n,48
0x1c05b7,his way in...,13
0x1c05c5,He defeated all his opponents with style and\n,46
0x1c05f4,"ease, and became the undisputed champion.",41
0x1c061e,The Mikado was very pleased by his mastery of\n,47
0x1c064e,"the sword, and wanted to bestow a reward upon\n",47
0x1c067e,him...,6
0x1c0685,But the man refused. He said the entire\n,41
0x1c06af,tournament was nothing but child's play.,40
0x1c06d8,"Whoa, he said that to the Mikado?\n",35
0x1c06fc,I'm surprised he walked out of there in one\n,45
0x1c072a,piece.,6
0x1c0731,I have heard my dear brother speak of this man.\n,49
0x1c0763,The Mikado went so far as to praise his\n,41
0x1c078d,brazenness.,11
0x1c0799,"His fame grew, and many skilled swordsmen\n",43
0x1c07c5,"challenged him to duels, but he still remains\n",47
0x1c07f5,undefeated.,11
0x1c0801,That's the master swordsman Jachdwalt I know.,45
0x1c082f,"Gotta say, lady, I didn't expect I'd bump into\n",48
0x1c0860,someone who knew me here.,25
0x1c087a,"If I could... No, I don't regret my decisions.",46
0x1c08a9,"So be it, Jachdwalt. I hereby present you\n",43
0x1c08d5,with a choice.,14
0x1c08ea,This will be your final chance.\n,33
0x1c090c,"Take this hand, or refuse it.",29
0x1c092a,"Now, choose.",12
0x1c093b,D-Dear sister...?,17
0x1c094d,"Tch! What are you doing, you worthless piece\n",46
0x1c097c,of shit!? Hurry up an--,23
0x1c0994,"Whoa, he's fast...",18
0x1c09a7,"That, I presume, is why they call him\n",39
0x1c09cf,Jachdwalt the Mirage Blade...,29
0x1c09ed,...Huh?,7
0x1c09f5,W-Wait... why is... everything...,33
0x1c0a17,...He cuts with incomparable speed.\n,37
0x1c0a3d,One can only glimpse the glint of his sword...\n,48
0x1c0a6e,like a fading mirage.,21
0x1c0a84,"Oooh, I just knew it. You WERE holding back\n",45
0x1c0ab2,on us.,6
0x1c0ab9,Nakwan,6
0x1c0ac0,"What have you done, Jachdwalt!?\n",33
0x1c0ae2,What of the hostages!?,22
0x1c0af9,I'm willing to bet it all on the bosslady here.,47
0x1c0b29,Y-You can't be serious! You're going to trust\n,47
0x1c0b59,these guys!? They were our enemy just a second\n,48
0x1c0b8a,ago!,4
0x1c0b8f,"Now there I gotta stop you, friend.\n",37
0x1c0bb5,The real enemies are the Uzurushans.\n,38
0x1c0bdc,Ain't that right?,17
0x1c0bee,You really think those slimeballs will release\n,48
0x1c0c1f,the hostages once this is all over?,35
0x1c0c43,That's...,9
0x1c0c4d,And haven't you noticed? These guys haven't been\n,50
0x1c0c80,tryin' to seriously injure us.,30
0x1c0c9f,And they sound like they're willing to lend us\n,48
0x1c0cd0,a hand.,7
0x1c0cd8,"Yeah, that about sums it up.",28
0x1c0cf5,"In any case, we would like a detailed explanation\n",51
0x1c0d29,of the situation.,17
0x1c0d3b,"Well, let's see... Everyone here, including me,\n",49
0x1c0d6d,we're connected to hostages taken by the\n,42
0x1c0d98,Uzurushans.,11
0x1c0da4,Our price for their release was to fight against\n,50
0x1c0dd7,"Yamato, but you probably figured that out already.",50
0x1c0e0a,"Jachdwalt takes a knee, holding up his blade\n",46
0x1c0e39,"in both hands, and bows his head.",33
0x1c0e5b,"I beg of you. Please, help us take the hostages\n",49
0x1c0e8d,"back from them. They got my girl in there, too.",47
0x1c0ebd,"The others follow Jachdwalt's example, holding\n",48
0x1c0eee,out their weapons with both hands and kneeling.,47
0x1c0f1e,Nakwans,7
0x1c0f26,Please!,7
0x1c0f2e,"Oh, how lovely! Putting your life on the line\n",47
0x1c0f5e,"for your darling! Hee hee, and that means more\n",48
0x1c0f8f,fighting.,9
0x1c0f99,We intended to do so from the start.\n,38
0x1c0fc0,"You're all OK with that, right?",31
0x1c0fe0,Y-Yes...,8
0x1c0fe9,Yes. I have no objections.,26
0x1c1004,Indeed. It would ill suit a good woman to\n,43
0x1c1030,abandon them here!,18
0x1c1043,"If my dear sister wishes it, then I naturally\n",47
0x1c1073,have no objections.,19
0x1c1087,"As a fellow citizen of Yamato, I cannot let such\n",50
0x1c10ba,atrocities pass unpunished.,27
0x1c10d6,Yeah. I'm with you there.,25
0x1c10f0,So do you know exactly where the hostages are\n,47
0x1c1120,being held?,11
0x1c112c,"Yeah. It's a ways into Uzurushan territory, but\n",49
0x1c115e,it's away from the battlefield. Not too many\n,46
0x1c118d,guards posted.,14
0x1c119c,Then we can just cut them to bits in one\n,42
0x1c11c7,fell swoop!,11
0x1c11d3,Yes. Simple indeed.,19
0x1c11e7,...You're still freaking me out.,32
0x1c1208,"If we go around the battlefield, we won't be\n",46
0x1c1237,discovered. Our plan to save the hostages is\n,46
0x1c1266,unanimous.,10
0x1c1271,"Well, that settles that. No reason for us to\n",46
0x1c12a0,"loiter around here, then... Let's get to it.",44
0x1c12cd,"Thanks for the help, bosslady!",30
0x1c12ec,"I knew this was going to happen, but man,\n",43
0x1c1318,what a pain...,14
0x1c1327,"I'll be counting on your help too, boss.",40
0x1c1350,Please don't call me that...,28
0x1c136d,"Seems you're the leader around here, though.\n",46
0x1c139c,Gotta have a proper name. How 'bout Big Man?\n,46
0x1c13cb,Or Chief?,9
0x1c13d5,...You know what? Boss is fine.,31
0x1c13f5,"You got it, boss. Let's head out then, yeah?",44
0x1c1422,"*Sigh*... Ah, well. At least it's better than\n",47
0x1c1452,actually fighting in the war...,31
