offset,text_target
AREAS027.DAT:8:0,Obtemos a força que precisa mos para operar este elevador de todos os moinhos de vento.
AREAS027.DAT:8:1,Obtemos a força que precisa mos para operar este elevador de todos os moinhos de vento.
AREAS027.DAT:8:2,"Que vista linda, não é?[02]Se tiver sorte, talvez veja o Dragão do Vento voando daqui."
AREAS027.DAT:8:3,As pessoas não ficam assusta das vivendo tão alto?
AREAS027.DAT:8:4,"Nós Wyndians não tememos altura.[02]Ao contrário, adoramos lugares altos."
AREAS027.DAT:8:5,Eu não tenho medo de altura!
AREAS027.DAT:8:6,Este é o calabouço. Não há muito de interesse a ver aqui.
AREAS027.DAT:8:7,"Ah, Princesa Elina![02]E Princesa [04][01]![02]Ambas são tão formosas![02]O que eu faria se ambas professassem amor por mim?[02]Como eu poderia escolher entre elas!?"
AREAS027.DAT:8:8,"Desculpe, mas cidadãos ordina ários não podem passar além deste ponto."
AREAS027.DAT:8:9,"Desculpe, mas ordina ários...[02]...Princesa [04][01]!?"
AREAS027.DAT:8:10,Cidadãos ordinários não podem...[0B]Huh?[02]Princesa [04][01]!
AREAS027.DAT:8:11,"É bom tê-la de volta, Princesa [04][01]!"
AREAS027.DAT:8:12,"Bem-vinda para casa, Princesa [04][01]!"
AREAS027.DAT:8:13,O Rei está esperando por você.
AREAS027.DAT:8:14,Todos estavam preocupados com você.
AREAS027.DAT:8:15,"Sua Majestade o Rei, assim como todos nós, aguardava [02]ansiosamente o retorno seguro da Princesa."
AREAS027.DAT:8:16,Fico tão feliz que a Princesa tenha voltado!
AREAS027.DAT:8:17,"Este é a câmara de audiência do Rei. Por favor, se retirem."
AREAS027.DAT:8:18,É...[0B]É a Princesa [04][01]!
AREAS027.DAT:8:19,"Vá em frente, Princesa--pode ver o Rei [02]a qualquer momento!"
AREAS027.DAT:8:20,Quem é você?
AREAS027.DAT:8:21,Princesa [04][01]! Não sabíamos que tinha voltado!
AREAS027.DAT:8:22,Isso quer dizer que Princesa Elina não volta?
AREAS027.DAT:8:23,Nada a reportar!
AREAS027.DAT:8:24,Sessões de estratégia aconteciam aqui todo dia durante a guerra.[02]Fico feliz que a guerra acabou! Espero que nunca tenhamos outra!
AREAS027.DAT:8:25,Ninguém pode passar daqui sem permissão do Rei.
AREAS027.DAT:8:26,Não soube o que pensar quando recebi notícia de [02]Ludia de que fostes capturado.
AREAS027.DAT:8:27,"O que estava eu para pensar?[02]Minha filha sai em busca de sua irmã desaparecida,[02]apenas para ser apanhada trespassando em terra [02]inimiga... Como isto sucedeu?"
AREAS027.DAT:8:28,"Peço vosso perdão, Majestade.[02]É toda culpa minha. Se não fosse por mim..."
AREAS027.DAT:8:30,"Como decerto descobristes,[02]nosso vizinho e suposto aliado Ludia está mais preocupado [02]com suas relações com o Império do que em me ajudar a procurar minha filha."
AREAS027.DAT:8:32,"Então, que pretendeis fazer agora?[02]Mais cedo ou mais tarde, os Ludianos decerto [02]descobrirão que estais aqui.[02]Naturalmente, faremos tudo que pudermos para vos proteger..."
AREAS027.DAT:8:35,"Compreendo...Mas...[02]Ainda que eu seja rei de Wyndia, nenhum [02]controle tenho sobre o dragão...Sabeis disso."
AREAS027.DAT:8:37,"Hmm...Compreendo...[01]Muito bem.[02]Ide à floresta a leste daqui.[02]Lá encontrareis a [05][02]Oráculo dos Ventos[06],[02]uma sacerdotisa que serve o Dragão do Vento."
AREAS027.DAT:8:38,Informá-la-ei de vossa vinda.[02]Descansai esta noite--podeis iniciar vossa jornada [02]pela manhã.
AREAS027.DAT:8:39,"O Oráculo vive na floresta a leste de Wyndia.[02]Não se preocupem--caso os Ludianos perguntem sobre [02]vocês, pensaremos em algo para distraí-los."
AREAS027.DAT:8:40,"O Rei está em posição extremamente delicada...[02]Por um lado, precisa proteger sua filha, Princesa [04][01],[02]e por outro manter nossas relações com Ludia."
AREAS027.DAT:8:41,"Tenho pena do pobre Rei...[02]Embora se preocupe com Princesa Elina mais que ninguém,[02]não discute o assunto com ninguém em público.[02]Dói meu coração vê-lo..."
AREAS027.DAT:8:43,"O [09][07][05] é uma antiga relíquia sagrada, necessária para entrar na Torre do Vento,[02]que é sagrada para o Dragão do Vento.[02]É guardada em lugar seguro [05][02]sob o Castelo[06]."
AREAS027.DAT:8:44,"P'ung Ryong, o Dragão do Vento, é incomum entre sua espécie por ainda [02]interagir com mortais e falar com eles de tempos em tempos."
AREAS027.DAT:8:46,Soube que viriam. Boa sorte!
AREAS027.DAT:8:47,"Ouço dizer que a Torre do Vento é ainda mais alta que o Castelo![02]Adoraria ir lá, apenas uma vez!"
AREAS027.DAT:8:48,O Oráculo do Vento vive na Floresta Kasq [02]há mais tempo que qualquer pessoa se lembra...[02]Ela quase nunca sai exceto para falar com o Dragão do Vento.
AREAS027.DAT:8:50,"Temos relatos de que tropas Ludianas foram vistas perto do Castelo.[02]Vocês devem se apressar, antes que descubram que estão aqui!"
AREAS027.DAT:8:51,A última vez que o Oráculo veio ao Castelo foi quando Princesa [04][01] nasceu.
AREAS027.DAT:8:52,"Dizem que a única forma de ver o Dragão do Vento de perto é [02]ir ainda mais alto que a Torre do Vento, para o norte.[02]Mas como alguém conseguiria fazer isso?"
AREAS027.DAT:8:53,"Princesa Elina é noiva para casar com o Príncipe de Ludia...[02]Princesa [04][01] é a próxima na linha de sucessão...[02]O que escolher--um amor que é errado, ou um amor que não pode ser?"
AREAS027.DAT:8:54,"Espera...Se Princesa [04][01][01] e eu fomos unidos,[02]isso quer dizer que um dia serei Rei de Wyndia...[02]Conseguirei lidar com a responsabilidade?"
AREAS027.DAT:8:55,"Se eu casar com Princesa Elina, isso quer dizer que o país inteiro [02]de Ludia estará atrás de nós...[02]Conseguirei protegê-la contra eles?"
AREAS027.DAT:8:58,"Hmm...[02]A outra metade do Primeiro Imperador, dizeis?[02]Compreendo agora por que tanto Ludia quanto o [02]Império vos procuravam![02]Carregais um fardo pesado... Desejo-vos a melhor das sortes."
AREAS027.DAT:8:59,"Hmm...[02]A outra metade do Primeiro Imperador, dizeis?[02]Compreendo agora por que tanto Ludia quanto o [02]Império vos procuravam![02]Carregais um fardo pesado... Desejo-vos a melhor das sortes."
AREAS027.DAT:8:60,"[04][01]...[02]Pouco posso fazer por vós agora.[02]Crescestes muito, minha filha.[02]Sois forte o bastante para lutar vossas próprias batalhas. [02]Tenho muito orgulho de vós!"
AREAS027.DAT:8:61,"Quando não voltaram, começamos a nos preocupar.[02]Conseguiram encontrar o Dragão do Vento?"
AREAS027.DAT:8:62,"Sei o que Sua Majestade o Rei disse, mas também sei que em seu coração, [02]ele ainda se preocupa com você, Princesa. Cuide-se, e [02]volte para casa logo!"
AREAS027.DAT:8:63,"Por favor, cuide bem da Princesa [04][01]!"
AREAS027.DAT:8:64,Princesa Elina ainda não voltou...[02]Só rezo que nada aconteça à Princesa [04][01]...!
AREAS027.DAT:8:65,"Não sabemos quando voltarão, mas trabalhamos duro para [02]manter os quartos de ambas as Princesas limpos e arrumados."
AREAS027.DAT:8:66,"Aqueles dragões são criaturas estranhas, não são?[02]Quer dizer, veja o Dragão do Vento--como algo tão grande pode voar assim?"
AREAS027.DAT:8:67,Talvez aqueles Ludianos finalmente tenham desistido...[02]Não vemos nenhum deles por aqui há um tempo.
AREAS027.DAT:8:68,O Rei parece tão solitário ultimamente...[02]Acho que sente falta de jantar com suas filhas.
AREAS027.DAT:8:69,O Rei parece tão solitário ultimamente...[02]Acho que sente falta de jantar com suas filhas.
AREAS027.DAT:8:70,Voltou? Tem algo que[01]posso fazer por voce?
AREAS027.DAT:8:71,"Se eu desposar a Princesa[01][04], tudo isto...A cidade, o povo...[02]Sera meu! Ha ha...Bwah ha ha ha ha!"
AREAS027.DAT:8:72,"Voce foi a Torre do[01]Vento?[02]O que achou? E bem[01]alta, nao e?[02]Queria ter ido com voce..."
AREAS027.DAT:8:73,Deixa eu descansar um[01]pouco...O ar aqui e tao[01]rarefeito...Ufa!
AREAS027.DAT:8:74,"Alimenta os elevadores,[01]traz agua para ca...[02]Nao e incrivel o que o[01]poder do vento consegue?"
AREAS027.DAT:8:75,"Voce ja sabe, mas este e o[01]caminho para as masmorras."
AREAS027.DAT:8:76,"O ar e fresco e limpo, e a[01]paisagem e tao linda...[02]Eu podia ficar aqui[01]para sempre!"
AREAS027.DAT:8:80,"Nao dou muita atencao ao que[01]nao afeta Wyndia,[02]mas ate eu vejo que o[01]mundo esta mudando..."
AREAS027.DAT:8:81,"Nao dou muita atencao ao que[01]acontece fora do castelo,[02]mas ate eu vejo que o[01]mundo esta mudando..."
AREAS027.DAT:8:82,"Por favor, cuide bem da Princesa [04][01]!"
AREAS027.DAT:8:83,"Ora, Princesa [04]![02]Por um momento quase a[01]confundi com sua irma.[02]Voce se parece muito mais[01]com ela nas ultimas[01]semanas—mais confiante, mais[01]madura. Se ela apenas[01]estivesse aqui para ver!"
AREAS027.DAT:8:84,Ha ha...Bwah ha ha ha![02]Veja o povo la embaixo![01]Parecem formigas! Insetos![01]Bwah ha ha ha ha!
AREAS027.DAT:8:85,Pegamos alguem tentando[01]entrar no castelo.[02]Eu mantinha distancia se[01]fosse voce!
AREAS027.DAT:8:88,Ouvi dizer que pertencia[01]ao Rei em pessoa!
AREAS027.DAT:8:90,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:91,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:92,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:93,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:94,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:95,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:96,O vento sopra pelas[01]cavernas fazendo os[01]moinhos girarem.
AREAS027.DAT:8:97,Voce nao consegue se mover[01]contra o vento! Espere nas[01]cavidades da parede ate[01]parar!
