offset,text_source,byte_budget
0x214cf4,So this is all your research.,29
0x214d12,Man,3
0x214d16,"Yeah... But to be honest, I've hit a roadblock.",47
0x214d46,"Lower birth rates, susceptibility to genetic\n",46
0x214d75,"diseases... and to top it off, environmental\n",46
0x214da4,contamination.,14
0x214db3,Our species is coming to an end.,32
0x214dd8,But the desire to live is instinct in humans--\n,48
0x214e09,in ANY creature. I can't give up now.,37
0x214e2f,I must bring hope to all of humanity.,37
0x214e55,"Yeah, that sounds like my brother, all right...",47
0x214e85,Hah... But lofty ideals are meaningless if you\n,48
0x214eb6,can't make something of them.,29
0x214ed4,"Indeed... If all your effort ends in nothing,\n",47
0x214f04,you've only been wasting your time.,35
0x214f28,Bro...,6
0x214f2f,A paradigm shift...?,20
0x214f44,Huh...?,7
0x214f4c,Perhaps what we need is a different approach\n,46
0x214f7b,than the drugs and genetic engineering we've\n,46
0x214faa,been relying on.,16
0x214fbb,"Well, any good ideas?",21
0x214fd1,"If even you don't know, what makes you think\n",46
0x215000,I would?,8
0x215009,Sometimes people like you can solve all our\n,45
0x215037,problems with an answer nobody expects.,39
