offset,text_en,byte_budget
CH3_CREW_TEXT_01,"My my, how exciting to have real mermaids on board!",51
CH3_CREW_TEXT_02,"I like the Three Mermaids -- they're kind of funny and nice. Don't you, #username#?",83
CH3_CREW_TEXT_03,Looking forward to the Mermaids' show today!,44
CH3_CREW_TEXT_04,"I can't wait to arrive in Nassau! Bahamas, here we come!",56
CH3_CREW_TEXT_05,How long till we get to the Bahamas already?,44
CH3_CREW_TEXT_06,I heard the Guava Duffs in the Bahamas are spectacular! Can't wait to try them!,79
CH3_CREW_TEXT_07,"Want to join me for a ""Yellow Bird"" in Nassau, #username#? It's the locals' favorite drink!",91
CH3_CREW_TEXT_08,"It's so good to be back on the ""Love Boat""!",43
CH3_CREW_TEXT_09,"Traveling on our ""Love Boat"" is like one big family reunion!",60
CH3_CREW_TEXT_10,I've found a recipe for happiness! Love what you do and you'll do what you love!,80
