offset,text_target
CH3_CREW_TEXT_01,Que legal ter sereias de verdade a bordo!
CH3_CREW_TEXT_02,"Gosto das Três Sereias — elas são engraçadas e legais. E você, #username#?"
CH3_CREW_TEXT_03,Mal posso esperar pelo show das Sereias hoje!
CH3_CREW_TEXT_04,"Não vejo a hora de chegar a Nassau! Bahamas, aqui vamos!"
CH3_CREW_TEXT_05,Quanto tempo falta pra chegar nas Bahamas?
CH3_CREW_TEXT_06,Ouvi falar que os Guava Duffs nas Bahamas são incríveis! Mal posso esperar!
CH3_CREW_TEXT_07,"Quer tomar um ""Yellow Bird"" comigo em Nassau, #username#? É a bebida favorita daqui!"
CH3_CREW_TEXT_08,"Que bom estar de volta no ""Love Boat""!"
CH3_CREW_TEXT_09,"Viajar no ""Love Boat"" é como um grande reencontro familiar!"
CH3_CREW_TEXT_10,Descobri a receita da felicidade! Ame o que faz e fará com amor!
