offset,text_source,byte_budget
0x7486f,{c5}Combat Tutorial{c-1} added to the Glossary.,47
0x74d66,Well looky here. Looks like we've got a fresh\n,47
0x74d96,"idiot, waltzing right in.",25
0x74db0,Huh. These next guys seem pretty sure of\n,42
0x74ddb,"themselves, but they don't look so tough...",43
0x74e07,Hah! Talk big all you want. We've got a trump card\n,52
0x74e3c,"up our sleeve, see?",19
0x74e50,A trump card...? Gah!? You've trained gigiri to\n,49
0x74e82,fight for you...!? Are you insane!?,35
0x74ea6,"Hahaha! What do you think? Who's ""not so tough""\n",49
0x74ed8,now!? There's no way we're going to los--\n,43
0x74f04,GYAARGH!!,9
0x74f0f,"...Y'know, for a dream, this is weirdly realistic.\n",52
0x74f44,Whatever... I doubt I can get around this one.,46
0x7506d,"Rrrgh, how!? My plan was flawless...",36
0x75092,Don't think you've won just yet!,32
0x750b3,"You may have defeated me, but after this, there\n",49
0x750e5,will surely be a second gigiri! And a third!\n,46
0x75114,And a fourth!,13
0x75122,"Holy shit, how many of these are gonna show up!?\n",50
0x75155,"Don't jinx it... No more nasty surprises, please...",51
