offset,text_source,byte_budget
0x24a8f,Phew. I'm out of the bath.,26
0x24aae,"I return to the room, relaxed and refreshed, to find\n",54
0x24ae5,Kuon sitting in the corner with her back turned.,48
0x24b16,"Kuon, I'm out...?",17
0x24b28,What's going on?,16
0x24b39,No reply. She doesn't seem to even notice me.,45
0x24b67,"When I approach, I can faintly hear her muttering to\n",54
0x24b9e,"herself, gaze vacant...",23
0x24bb6,"It sounds like she's saying ""thwap, thwap,"" but it's\n",54
0x24bed,difficult to make out.,22
0x24c04,...Kuon?,8
0x24c0d,I put my hand on her shoulder.,30
0x24c2c,Eep!,4
0x24c31,Whoa!,5
0x24c37,"G-Geez, don't surprise me like that.",36
0x24c5c,"I-I'm the one who's surprised, here. Did something\n",52
0x24c91,happen?,7
0x24c99,Huh?,4
0x24c9e,You had a thousand-yard stare and you were mumbling\n,53
0x24cd4,like you'd seen something awful. What happened?,47
0x24d04,Why are you averting your eyes?,31
0x24d24,I-I'm not... averting them...,29
0x24d42,"Despite her words, Kuon is, in fact, looking entirely\n",55
0x24d7a,to one side of me.,18
0x24d8d,"No, you definitely are.",23
0x24da5,I round on her and place myself in front of her\n,49
0x24dd7,"eyes, but she turns away again.",31
0x24df7,And your face is bright red. What's the deal?,45
0x24e25,I lean down and put my face right in front of hers. She still\n,63
0x24e65,refuses to make eye contact.,28
0x24e82,"Instead, her cheeks turn even redder--and her eyes\n",52
0x24eb7,are bloodshot like she's been drinking.,39
0x24edf,"Your eyes are red, too. Are you feeling...?",43
0x24f0b,*WHUMF--*,9
0x24f15,Wh--,4
0x24f1a,"Out of the blue, Kuon grabs me and tosses me away\n",51
0x24f4e,like a ragdoll with that casual strength of hers.,49
0x24f80,*FLUMP*,7
0x24f88,Urgh...,7
0x24f90,"My body flies through the air, landing squarely\n",49
0x24fc2,on the bed.,11
0x24fce,Wh-What are you d--,19
0x24fe2,You needn't concern yourself with me. More\n,44
0x2500f,"importantly, why didn't you tell me about THIS?",47
0x2503f,Kuon pulls my feet upward and inspects the soles.,49
0x25071,Tell you what?,14
0x25080,Was there something I needed to tell her...?,44
0x250ad,"Kuon ignores the question, frowning deeply at the\n",51
0x250e1,sight of my ruined soles.,25
0x250fb,"If you'd said something, I wouldn't have made you\n",51
0x2512f,strain yourself this much today.,32
0x25150,...What!? I did tell you. Repeatedly.,37
0x25176,I run through the day's events in my mind...,44
0x251a3,"I did gripe and complain, several times... I...",47
0x251d3,"Actually, come to think of it, I never complained\n",51
0x25207,aloud--I only ever muttered my gripes...,40
0x25230,Hold still for a moment.,24
0x25249,Kuon takes several small pills from the pouch at\n,50
0x2527c,"her waist and puts them into her mouth, chewing.",48
0x252ad,What's that?,12
