offset,text_source,byte_budget
0x31d4b0,"*Sigh*... Man, I'm beat...",26
0x31d4cb,Shoulder massage.,17
0x31d4dd,"Another job well done today, Master.",36
0x31d502,"Hooooooff... Yeah, that's the spot.",35
0x31d526,All these jobs lately just aren't worth it...\n,47
0x31d556,There's gotta be some quick and easy way to get\n,49
0x31d588,stronger.,9
0x31d592,Wonder if my brother has some kind of tech\n,44
0x31d5bf,that'll make me stronger just by sleeping.,42
0x31d5ea,Life would be so much easier if we had something\n,50
0x31d61d,like that.,10
0x31d62c,"Ah, well. Something that convenient probably\n",46
0x31d65b,couldn't exist anyway.,22
0x31d672,It does.,8
0x31d67b,"Wait, what!?",12
0x31d688,An ancient art.,15
0x31d698,It is a forbidden spell that even the Mikado\n,46
0x31d6c7,chose to avoid using. And it is called--,40
0x31d6f0,The sleep-learning spell!,25
0x31d70a,...This is starting to sound real fishy.,40
0x31d733,No need to worry.,17
0x31d745,It is certain to have an effect. Satisfaction\n,47
0x31d775,guaranteed or your money back.,30
0x31d794,And how's that money-back guarantee supposed to\n,49
0x31d7c6,work...? Whatever. It's worth a shot. So I just\n,49
0x31d7f8,fall asleep?,12
0x31d805,We shall begin at once.,23
0x31d81d,We shall start by chanting the spell. Please relax\n,52
0x31d852,and close your eyes.,20
0x31d867,L-Like this?,12
0x31d874,"Deilnidrah, deilnidrah...",25
0x31d88e,"Suolucidteews, suolucidteews...",31
