offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAS011.DAT:8:1,AREAS011.DAT,8,1,"""Lot o' people from[01]the West who want to[02]sell things come[01]here to this town.""",108,
AREAS011.DAT:8:2,AREAS011.DAT,8,2,"""Lot o' people from[01]the West who want to[02]sell things come[01]here to this town.""",108,
AREAS011.DAT:8:4,AREAS011.DAT,8,4,"[14][03][03][0A][01]""Meow!""",17,[14][03]
AREAS011.DAT:8:6,AREAS011.DAT,8,6,"[14][04][04]""I'm sooo hungry![01]Where's Chino? I hope[01]he gets back soon!""",87,[14][04]
AREAS011.DAT:8:7,AREAS011.DAT,8,7,"[14][05][05]""These clothes are[01]pretty nice, huh?[02]I got them from the[01]Wyndian Princess!""",110,[14][05]
AREAS011.DAT:8:8,AREAS011.DAT,8,8,"[14][06][06]""I'm hungry.[02]But none of us can[01]eat until Chino gets[01]back.""",87,[14][06]
AREAS011.DAT:8:9,AREAS011.DAT,8,9,"[14][07][07]""Chino must be[01]running around town[01]somewhere again.[02]He's such a kid!""",101,[14][07]
AREAS011.DAT:8:10,AREAS011.DAT,8,10,"[14][08][08]""The Wyndian princess[01]recently visited us[01]on a goodwill tour.[02]She made a generous[01]donation of clothes[02]and toys for the[01]children.""",185,[14][08]
AREAS011.DAT:8:11,AREAS011.DAT,8,11,"[14][09][09]""All of us here don't[01]have mommies or[01]daddies anymore.[02]Sister Lyta takes[01]care of us now!""",129,[14][09]
AREAS011.DAT:8:12,AREAS011.DAT,8,12,"[14][0A][0A]""Heh heh...""",22,[14][0A]
AREAS011.DAT:8:13,AREAS011.DAT,8,13,"""You wanna know about[01]the princess who came[01]visiting here?[02]I don't know about[01]that myself, but Lyta[01]might.[02]She's the one who[01]takes care of the[01]orphans.[02]She lives in the[01]house in front of the[01]well.""",276,
AREAS011.DAT:8:14,AREAS011.DAT,8,14,"[14][0B][0B]""Do you want to make[01]an entry in your[01]diary?""[12][89][0C][82]Yes[01]No",82,[14][0B]
AREAS011.DAT:8:15,AREAS011.DAT,8,15,It's empty...Could this be[01]one of the chests Elina[01]brought with her?,96,
AREAS011.DAT:8:16,AREAS011.DAT,8,16,It's full of children's[01]clothes.,45,
AREAS011.DAT:8:17,AREAS011.DAT,8,17,It's filled with toys and[01]snacks.,47,
AREAS011.DAT:8:18,AREAS011.DAT,8,18,"[0C][06][14][80]@""I see you've come[01]back...[0B]And you've[01]got Chino with you.""",89,
AREAS011.DAT:8:19,AREAS011.DAT,8,19,"[14][0C][0C]""Yes, Sister Lyta.[02]These people here[01]were kind enough to[01]help me find him.""",110,[14][0C]
AREAS011.DAT:8:20,AREAS011.DAT,8,20,"[0C][06][14][80]@""Well...Thank you[01]very much for your[01]help.""",68,
AREAS011.DAT:8:21,AREAS011.DAT,8,21,"[0C][06][14][80]@""All right, children.[01]Now that everyone's[01]here, let's eat.""",90,
AREAS011.DAT:8:22,AREAS011.DAT,8,22,"[0C][06][14][80]@""Now then...[02]Why don't we go[01]upstairs and talk?""",75,
AREAS011.DAT:8:27,AREAS011.DAT,8,27,"[0C][06][14][8D][0D]""Please--we'd be[01]grateful if you could[01]tell us anything!""",87,
AREAS011.DAT:8:28,AREAS011.DAT,8,28,"[0C][06][14][8E]N""I know!""",20,
AREAS011.DAT:8:31,AREAS011.DAT,8,31,"[0C][06][14][8E]N""You bet I do![01][0B]But...""",40,
AREAS011.DAT:8:32,AREAS011.DAT,8,32,"[0C][06][14][8E]N""I won't tell you![02]You caught me when[01]we played tag before.[02]This time, you have[01]to play hide and seek[01]with us![02]If you can find all[01]of us, I'll tell you[01]where she went!""",243,
AREAS011.DAT:8:33,AREAS011.DAT,8,33,"[0C][06][14][0E]N""Hey, everyone! Hide[01]and seek!""",51,
AREAS011.DAT:8:35,AREAS011.DAT,8,35,"[0C][06][14][8F]M""It's all right,[01]Sister.[0B] Besides...[02][14][C1]@If Chino does know[01]what happened to my[01]sister,[02]I'll do whatever I[01]have to to get him[01]to tell me!""",199,
AREAS011.DAT:8:36,AREAS011.DAT,8,36,"[0C][06][14][C1]@""Well, let's go try[01]to find them.""",55,
AREAS011.DAT:8:37,AREAS011.DAT,8,37,"[14][07][07]""I...[0B]I wasn't trying[01]to hide from you...[02]I don't play hide and[01]seek...[0B]That's for[01]kids.""",129,[14][07]
AREAS011.DAT:8:38,AREAS011.DAT,8,38,"[14][0C][0C]""I'm sorry...I tried[01]to catch them...""",58,[14][0C]
AREAS011.DAT:8:39,AREAS011.DAT,8,39,"[14][0A][0A]""Whoops! You found[01]me![02]...[0B]All right, I'll[01]tell you where to[01]find Rudd.[02]He said he'd hide[01]under the eastern[01]wall.""",164,[14][0A]
AREAS011.DAT:8:40,AREAS011.DAT,8,40,"[14][0A][0A]""Did you find Rudd?[02]He's to the east of[01]here, you know!""",83,[14][0A]
AREAS011.DAT:8:41,AREAS011.DAT,8,41,"[14][09][09]""Jahn told you where[01]to find me, didn't[01]he?""",66,[14][09]
AREAS011.DAT:8:42,AREAS011.DAT,8,42,"[14][08][08]""Have you found[01]everyone yet?""",47,[14][08]
AREAS011.DAT:8:43,AREAS011.DAT,8,43,"[14][06][06]""Did you see Modo?[02]Try looking north[01]from the top of the[01]bridge.""",96,[14][06]
AREAS011.DAT:8:44,AREAS011.DAT,8,44,"[14][05][05]""Were you able to[01]get there?[02]Maybe I should've[01]just told you to go[01]to the inn, huh?""",122,[14][05]
AREAS011.DAT:8:45,AREAS011.DAT,8,45,"[14][04][04]""Chino's still not[01]here.""",40,[14][04]
AREAS011.DAT:8:46,AREAS011.DAT,8,46,"[14][04][04]""You got me![02]Have you found[01]everyone yet?[02]If you're not sure,[01]you should go back[02]and count how many[01]of us you've found.""",173,[14][04]
AREAS011.DAT:8:47,AREAS011.DAT,8,47,"[14][04][04]""Everyone you find[01]will go back home.[02]You'll know you found[01]all of us once there[01]are 8 of us there.""",145,[14][04]
AREAS011.DAT:8:48,AREAS011.DAT,8,48,"[14][0C][0C]""Um...It looks like[01]there's one child[01]still missing...[0B][02]It's Chino, isn't[01]it?""",114,[14][0C]
AREAS011.DAT:8:49,AREAS011.DAT,8,49,"[14][0C][0C]""I suspected as much.[02][0B]As you know, he's[01]very good at running[01]and hiding from us.""",119,[14][0C]
AREAS011.DAT:8:50,AREAS011.DAT,8,50,"[14][05][05]""Chino? He said he[01]was gonna hide in the[01]cellar or something.""",92,[14][05]
AREAS011.DAT:8:51,AREAS011.DAT,8,51,"[14][8C]L""It's possible that[01]Chino may have snuck[01]past the guard,[02]and is hiding[01]underground.""",122,[14][8C]
AREAS011.DAT:8:53,AREAS011.DAT,8,53,"[14][8C]L""You will? Oh, thank[01]you so much![02]Good luck, and be[01]careful.""",90,[14][8C]
AREAS011.DAT:8:55,AREAS011.DAT,8,55,"[14][04][04]""I'm worried about[01]Chino...Why?[02]Because he's my[01]little brother,[01]that's why!""",111,[14][04]
AREAS011.DAT:8:56,AREAS011.DAT,8,56,"[14][05][05]""Did you have fun[01]playing hide and[01]seek?""",62,[14][05]
AREAS011.DAT:8:57,AREAS011.DAT,8,57,"[14][06][06]""I got hungry again[01]after all the playing[01]we did!""",75,[14][06]
AREAS011.DAT:8:58,AREAS011.DAT,8,58,"[14][07][07]""They told us not to[01]go underground[02]because it's[01]dangerous![02]But Chino never[01]listens to anyone--[02]he acts like such a[01]kid sometimes!""",188,[14][07]
AREAS011.DAT:8:59,AREAS011.DAT,8,59,"[14][0C][0C]""There's a guard to[01]make sure no one goes[01]underground,[02]but Chino probably[01]got past him when he[02]was getting a drink[01]of water or something[01]like that.""",212,[14][0C]
AREAS011.DAT:8:60,AREAS011.DAT,8,60,"[14][08][08]""You can get[01]underground from the[02]top of the castle[01]wall, you know.""",100,[14][08]
AREAS011.DAT:8:61,AREAS011.DAT,8,61,"[14][09][09]""I've seen the guard[01]there talking to the[01]water woman.[02]I think he likes[01]her!""",113,[14][09]
AREAS011.DAT:8:62,AREAS011.DAT,8,62,"[14][0A][0A]""Heh heh...""",22,[14][0A]
AREAS011.DAT:8:64,AREAS011.DAT,8,64,"[0C][04][14][8E]N""OK, a deal's a[01]deal...""",41,
AREAS011.DAT:8:65,AREAS011.DAT,8,65,"[0C][04][14][8E]N""When the Princess--[01]did I tell you how[01]pretty she was?[02]Anyway, when she was[01]getting ready to[01]leave town...""",159,
AREAS011.DAT:8:67,AREAS011.DAT,8,67,"[0C][04][14][8E]N""I don't really know,[01]but one of them was[02][05][02]Marlok[06], the shop[01]owner.""",104,
AREAS011.DAT:8:68,AREAS011.DAT,8,68,"[0C][04][14][80]@""[05][02]Marlok[06] is a merchant[01]who lives here in the[01]town.[02]He owns a large[01]sandflier of his own.[02]Some people say he[01]even has dealings[01]with the Empire.""",211,
AREAS011.DAT:8:69,AREAS011.DAT,8,69,"[0C][02][14][0D][0D]""The Empire!?[02]You mean, Elina's[01]been taken to the[01]West?""",86,
AREAS011.DAT:8:71,AREAS011.DAT,8,71,"[0C][04][14][8E]N""Marlok's got this[01]big house right in[01]the middle of town.[02]He's got a bodyguard[01]too, who stands in[01]front of it.""",163,
AREAS011.DAT:8:73,AREAS011.DAT,8,73,"[14][81]A""What? A Wyndian[01]princess, you say?""",55,[14][81]
