offset,text_source,byte_budget
0x908ea,Phew...,7
0x908f2,"Ahh, a bath first thing in the morning is the\n",47
0x90922,best...,7
0x9092a,I left Maroro and the others still out cold in\n,48
0x9095b,the banquet hall and came to the bathhouse.,43
0x90987,It feels like whatever alcohol's left in my\n,45
0x909b5,body is just washing away. I can feel myself\n,46
0x909e4,warming up.,11
0x909f0,I guess I understand now why Kuon is so\n,41
0x90a1a,particular about her baths.,27
0x90a36,"...Come to think of it, didn't she pick this\n",46
0x90a65,inn because she was fond of the baths here?,43
0x90a91,That girl's obsession with bathing is bordering\n,49
0x90ac3,"on fixation, I swear.",21
0x90ad9,She was troubled when she first heard about\n,45
0x90b07,"the price of lodging here, but...",33
0x90b29,"The moment she saw these baths, she jumped\n",44
0x90b56,right in without even pausing for thought.,42
0x90b81,I recall Kuon becoming completely ecstatic and\n,48
0x90bb2,rollicking around in the buff...,32
0x90bd7,...Then I shudder as I remember what transpired\n,49
0x90c09,after that.,11
0x90c15,I'm just... not gonna think about that.,39
0x90c3d,"By the time I return from the baths, all\n",42
0x90c68,"evidence of last night is gone, and breakfast\n",47
0x90c98,is ready.,9
0x90ca2,Sightseeing in the city?,24
0x90cbb,"I reply to Kuon as I eat, my mouth half full of\n",49
0x90ced,hot food.,9
0x90cf7,Uh huh. Nekone offered to show us around the\n,46
0x90d26,capital.,8
0x90d2f,"The famous sights of the imperial capital, the\n",48
0x90d60,"street food--oh, and I should visit the\n",41
0x90d8a,clothiers...,12
0x90d97,"Rulutieh's coming along too, of course.",39
0x90dbf,This is my first time touring the imperial\n,44
0x90dec,capital... I'm excited!,23
0x90e04,They both seem to be really worked up over the\n,48
0x90e35,idea.,5
0x90e3b,"I don't mind indulging in a little tourism,\n",45
0x90e69,but didn't you say we're here to look for work?,47
0x90e99,"At that, Kuon pauses.",21
0x90eaf,"B-But of course. We came all this way, though--\n",49
0x90ee1,"I think a little R&R is called for, don't you?",46
0x90f10,"Don't you, Haku?",16
0x90f21,I'm not exactly gonna object.,29
0x90f3f,"That little pause just now is concerning me,\n",46
0x90f6e,"but I guess if it's important, it'll come up\n",46
0x90f9d,again.,6
0x90fa4,"Besides, time spent sightseeing is time spent\n",47
0x90fd4,"not working. That's just fine in my book,\n",43
0x91000,you know?,9
0x9100a,Juuust fine.,12
