offset,text_target
0x831a7,Conversamos sobre amenidades enquanto Ukon nos guia\n
0x831d9,pelas ruas da capital.
0x831fd,"Nos afastamos do centro da cidade,\n"
0x8322c,até chegar a um bairro repleto de\n
0x83258,vegetação.
0x83262,Chegamos -- a Pousada Hakurokaku. É famosa\n
0x83295,aqui na capital.
0x832b8,Hm. Este edifício tem uma arquitetura bem\n
0x832ea,"diferente. É... bem elegante, na verdade."
0x8331a,"É amplo e luxuoso, mas\n"
0x8334a,sem parecer grandioso demais ou ostentoso.
0x83375,A fachada tem um charme exótico\n
0x8339f,bem diferente do estilo do resto\n
0x833ce,da cidade.
0x833e0,A arquitetura incomum é do gosto pessoal\n
0x8340c,"da proprietária, ao que parece."
0x83428,"Só entre nós, a proprietária é de cair o\n"
0x8345b,queixo. E tem uma força absurda também.
0x8348a,"Sexy e forte, hein..."
0x834a2,"Com isso, dou uma olhadela por cima do ombro..."
0x834cd,"Kuon parece não ter prestado atenção,\n"
0x834fa,olhando ao redor para o edifício exótico.
0x83521,"...Bom, pelo menos a parte da força bate."
0x83543,"Ei, vamos lá vocês dois. Não vamos fazer todo\n"
0x83574,esperar.
0x8357d,"Com licença, senhorita. Deve ter um grupo aqui\n"
0x835ad,antes de mim?
0x835ba,Func.
0x835c1,"Hm? Ah, sim... Seus amigos já estão\n"
0x835eb,reunidos no Quarto do Crisântemo Bravo.
0x83614,Entendido. Obrigado.
0x83624,A funcionária some antes que Ukon consiga\n
0x8364f,agradecê-la.
0x83664,"...Hein. Alguém bem ocupada, parece."
0x83685,Então começaram sem esperar pelos convidados\n
0x836b8,"de honra aparecerem, hein?"
0x836e1,"Desculpe por isso. Me sinto mal, já que fui\n"
0x83711,eu quem convidou.
0x8371e,"Ah, tudo bem. Eu também me sentiria mal de\n"
0x8374b,fazê-los esperar. Contanto que estejam\n
0x83774,se divertindo.
0x83780,Você parecia bem íntimo com as pessoas\n
0x837ad,daqui. É cliente frequente ou algo assim?
0x837d8,"Hein? É, você pode dizer isso. É um pouco\n"
0x83808,"caro, mas a comida e a bebida são\n"
0x83838,boas.
0x8383e,"Diria que é exatamente o meu tipo de lugar,\n"
0x83870,sabe? O ambiente também não é nada mal.
0x83890,"Sim, o ambiente é realmente agradável. Parece\n"
0x838c2,que cuidam do lugar com muito esmero.
0x838f0,Kuon entra atrás de nós enquanto fala.
0x83915,Não é só onde se vê. Cada cantinho\n
0x83946,e recanto está impecável.
0x83976,"Heh, você captou."
0x8398d,Então! Senhora Rulutieh.
0x839a0,"Alguma objeção? Se não gostar desta pousada,\n"
0x839cc,posso te mostrar outra.
0x839f4,Hein?
0x839f9,"Rulutieh se sobressalta, estava olhando ao redor,\n"
0x83a27,a pergunta de Ukon a pegou de surpresa.
0x83a51,afinal?
0x83a57,"Se não gostar, temos outras opções.\n"
0x83a88,Que tal?
0x83a96,N-Não é... não é que eu não goste...
0x83ac5,"Ela não parece insatisfeita. Se for o caso, parece\n"
0x83af5,estar... ansiosa?
0x83b07,É um lugar tão lindo...
0x83b26,"Não chega aos pés do castelo da sua família,\n"
0x83b57,aposto.
0x83b61,N-Não é verdade! Eu não... não acho\n
0x83b90,que aquele lugar pode... ser considerado... lindo...
0x83bbd,É a sua primeira vez num lugar assim?
0x83beb,Hein? S-Sim...
0x83bf9,"E-Eu não... saio muito do castelo, então..."
0x83c23,...Entendo.
0x83c2d,"Com as palavras de Rulutieh, Kuon sorri com carinho."
0x83c56,"Falando nisso. Você disse que é um pouco caro,\n"
0x83c86,"mas quão caro assim, afinal?"
0x83cb1,"Hm? Bom, varia por andar, mas os quartos\n"
0x83ce1,"mais baratos ficam uns cinquenta, oitenta\n"
0x83d0f,por cento acima.
0x83d1d,Argh...
0x83d25,A-Ah... sim.
0x83d31,Parece que ela estava disposta a aceitar este\n
0x83d5e,"lugar pelo bem de Rulutieh, mas se assustou\n"
0x83d8d,o custo alto...
0x83d9a,...Você disse alguma coisa?
0x83db4,"Não, não disse nada."
