offset,text_source,byte_budget
0xa44ae,"Expression somewhat depressed, Kuon rests her\n",47
0xa44de,hands against her temples.,26
0xa44f9,How do I put it... It was a pretty easy mistake\n,49
0xa452b,"to make, but I still feel a little sorry for her.",49
0xa455d,It happened while we were out sightseeing in the\n,50
0xa4590,imperial capital...,19
0xa45a4,"Hey Kuon, do you know what this place sells?",44
0xa45d1,"It's a big shop facing the main street, but\n",45
0xa45ff,I can't tell what kind of shop it is from the\n,47
0xa462f,storefront alone.,17
0xa4641,"Huh? Oh, this is a fabric store.",32
0xa4662,"It says so on that signboard, right there.",42
0xa468d,Signboard...?,13
0xa469b,I peer at the signboard she's indicated.,40
0xa46c4,There certainly is something written on there\n,47
0xa46f4,"with huge, blocky writing, but...",33
0xa4716,"Well, I can't read it... Actually, what language\n",50
0xa4749,"is this, even?",14
0xa4758,...Huh?,7
0xa4760,I can't forget Nekone's face as she awkwardly\n,47
0xa4790,"averted her eyes, or Kuon squeaking in shock.",45
0xa47be,I never imagined that you might be illiterate...,48
0xa47ef,"You were able to read numbers, and you seemed\n",47
0xa481f,"good at arithmetic, so I thought...",35
0xa4843,I thought you might do well enough to be a\n,44
0xa4870,"civil servant, but math or not, if you can't\n",46
0xa489f,even read...,12
0xa48ac,"Urgh, my negligence is inexcusable...",37
0xa48d2,"I don't think it's... my fault, exactly,\n",42
0xa48fd,but I still feel... incredibly uncomfortable.,45
0xa492b,"W-Well, there's no helping it if I can't read.\n",48
0xa495c,"We just need to find work that I CAN do, then.",46
0xa498b,I won't be picky. There's gotta be something out\n,50
0xa49be,"there. Like a seat warmer, or... flower\n",41
0xa49e8,arrangement.,12
0xa49f5,"I'd rather not work in the first place, but\n",45
0xa4a23,they seem receptive to some suggestions at the\n,48
0xa4a54,moment...,9
0xa4a5e,What nonsense are you spewing now? There is no\n,48
0xa4a8f,way there would be such a convenient job.,41
0xa4ab9,We wouldn't know unless we looked.,34
0xa4adc,"I assure you, I know without looking. Just how\n",48
0xa4b0d,lightly are you taking all this?,32
0xa4b2e,Let us suppose there was such a job. How long\n,47
0xa4b5e,would you search for it? What if you could\n,44
0xa4b8b,not find it?,12
0xa4b98,Urgh...,7
0xa4ba0,"Well, this is a fine mess. Haku isn't very strong,\n",52
0xa4bd5,so physical labor is out of the question...,43
0xa4c01,So he does not even have any redeeming physical\n,49
0xa4c33,skills...,9
0xa4c3d,He really is utterly worthless.,31
0xa4c5d,Urgh... I can't take this much pity. But they're\n,50
0xa4c90,not wrong... so I can't really talk back.,41
0xa4cba,"U-Um... In that case, then...",29
0xa4cd8,Hm?,3
0xa4cdc,"If... If you'd like, ah...",26
0xa4cf7,Y-You...,8
0xa4d00,You?,4
