offset,file,text_en,byte_budget
scena/mp2010_04.dat:0x44082,scena/mp2010_04.dat,@&5 ,5
scena/mp2010_04.dat:0x44274,scena/mp2010_04.dat,@&e ,5
scena/mp2010_04.dat:0x505f3,scena/mp2010_04.dat,@& 1,5
scena/mp2010_04.dat:0x54adf,scena/mp2010_04.dat,@& 7,5
scena/mp2010_04.dat:0x5c522,scena/mp2010_04.dat,Contact the castle<I426>,25
scena/mp2010_04.dat:0x5c53b,scena/mp2010_04.dat,Not right now,14
scena/mp2010_04.dat:0x5c54a,scena/mp2010_04.dat,Are you sure?,14
scena/mp2010_04.dat:0x5c558,scena/mp2010_04.dat,able to freely travel around the Grancel region.,49
scena/mp2010_04.dat:0x5c589,scena/mp2010_04.dat,"<C1>If you contact the castle, you will no longer be",53
scena/mp2010_04.dat:0x5c5be,scena/mp2010_04.dat,Ask to be connected to the castle<I426>,40
scena/mp2010_04.dat:0x5c5e6,scena/mp2010_04.dat,Not right now,14
scena/mp2010_04.dat:0x5c5f5,scena/mp2010_04.dat,Got it.,8
scena/mp2010_04.dat:0x5c60c,scena/mp2010_04.dat,to the castle right away.,26
scena/mp2010_04.dat:0x5c626,scena/mp2010_04.dat,"In that case, I'll put you through",35
scena/mp2010_04.dat:0x5c65d,scena/mp2010_04.dat,"first, then report back to me with your findings.",50
scena/mp2010_04.dat:0x5c68f,scena/mp2010_04.dat,I'd like you to investigate the three reported sightings,57
scena/mp2010_04.dat:0x5c6d7,scena/mp2010_04.dat,to do it later if necessary.,29
scena/mp2010_04.dat:0x5c6f4,scena/mp2010_04.dat,"It's not an urgent request, so it's fine",41
scena/mp2010_04.dat:0x5c72c,scena/mp2010_04.dat,I'm counting on you.,21
scena/mp2010_04.dat:0x5c751,scena/mp2010_04.dat,"Hey, nice work out there.",26
scena/mp2010_04.dat:0x5c77b,scena/mp2010_04.dat,the sightings?,15
scena/mp2010_04.dat:0x5c78a,scena/mp2010_04.dat,Have you finished investigating,32
scena/mp2010_04.dat:0x5c7b9,scena/mp2010_04.dat,"No, we're still mid-investigation.",35
scena/mp2010_04.dat:0x5c7ef,scena/mp2010_04.dat,investigated all three.,24
