offset,text_source,byte_budget
0x277219,The city's been filled with hustle and bustle\n,47
0x277249,since early morning.,20
0x27725e,Today is the day Munechika and the others depart\n,50
0x277291,for the invasion of Tuskur.,27
0x2772ad,"The court musicians, positioned along the main\n",48
0x2772de,"gate, play a gallant and uplifting tune.",40
0x277307,Soldiers decked out in extravagant parade armor\n,49
0x277339,march in orderly rhythm to the music.,37
0x27735f,The people of the city wave and cheer as they\n,47
0x27738f,watch the soldiers march past.,30
0x2773ae,All seem confident that Yamato will again be\n,46
0x2773dd,"victorious, and their eyes gleam with\n",39
0x277405,excitement.,11
0x277411,"Dekopompo, whose army leads the march, nears\n",46
0x277440,the gates leading out of the city.,34
0x277463,"...And I see one man leave the procession,\n",44
0x277490,running towards me with tears streaming down\n,46
0x2774bf,his face.,9
0x2774c9,"O, Master Haku!",15
0x2774d9,"Here, you can wipe your tears with this.",40
0x277502,"Wait, that's my--",17
0x277514,"Oh, thou art too kind... *Pfflfflfflp*",38
0x27753b,"Egh, it's covered in snot now...",32
0x27755c,Ugh...,6
0x277563,You better get going again or they're gonna\n,45
0x277591,leave you behind.,17
0x2775a3,"F-Faith, I know this, but...",28
0x2775c0,"Alas, my crusade taketh me o'er the wide sea,\n",47
0x2775f0,and already doth my heart grow heavy from our\n,47
0x277620,parting...,10
0x27762b,"Still, you're their tactician. You gotta keep\n",47
0x27765b,your chin up.,13
0x277669,"Aye, perhaps, but... in the heat of the war\n",45
0x277697,"past, all my efforts were for naught.",37
0x2776bd,"I'faith, I... I am assailed by doubt, and\n",43
0x2776e9,wracked by fear. Am I unfit to serve as\n,41
0x277713,tactician...?,13
0x277721,Maro...,7
0x277729,I heard that Dekopompo blamed all his own\n,43
0x277755,mistakes on Maroro's strategy during the\n,42
0x277780,last war...,11
0x27778c,"I feel awful for Maroro, but this time he'll\n",46
0x2777bb,have Munechika with him. I'm sure things won't\n,48
0x2777ec,get that bad.,13
0x2777fa,My sire hath ordered the building of yet a\n,44
0x277827,"further storage-shed, to house more dear-priced\n",49
0x277859,antiques...,11
0x277865,Methinks a further blow to my wages would mark\n,48
0x277896,as more fatal than one from a headsman's axe...,47
0x2778c6,I dunno what to say... You've got it as tough\n,47
0x2778f6,"as ever, don't you?",19
0x27790a,"You better get going, though. At this rate,\n",45
0x277938,you really are gonna get left behind.,37
0x27795e,O... Thou speakst true.,23
0x277976,"Know't, Master Haku... my heart cries out at\n",46
0x2779a5,our farewell.,13
0x2779b3,"See you later, Maro. Don't go doing anything\n",46
0x2779e2,"reckless, OK?",13
0x2779f0,"You can go be a hero and get the glory, but\n",45
0x277a1e,it's pointless if you don't come back alive.,44
0x277a4b,M-Master Haku...,16
0x277a5c,We'll go get a drink when you get home. We can\n,48
0x277a8d,"invite Ukon, everyone else--we'll all have a\n",46
0x277abc,good time.,10
0x277ac7,"O, Master Haku, thou art a friend to surpass\n",46
0x277af6,the dearest of all friends!,27
0x277b12,Gah! Get off me! You're getting snot all over\n,47
0x277b42,me!,3
0x277b46,"Heh, geez... Guy's gonna miss the war at this\n",47
0x277b76,rate.,5
0x277b7c,The procession's moved on considerably since\n,46
0x277bab,we started talking with him.,28
0x277bc8,This cheering...,16
0x277bd9,I see. So she was bringing up the rear.,39
0x277c01,Maybe I'll head over to the front of the palace.,48
0x277c32,"Yo. Looks like ya made it just in time, Boss.",45
0x277c60,Looks like ya made it!,22
0x277c77,Munechika is just about to depart.,34
0x277c9a,Oh! Here she comes!,19
0x277cb2,"Oho? Well, she definitely looks damn snazzy\n",45
0x277ce0,with that.,10
0x277ceb,"Oooh, damn snazzy!",18
0x277cfe,"Hey, why don't we go with them?",31
0x277d1e,Like hell!,10
0x277d29,That's quite a lot of cheering for her.,39
0x277d51,It just goes to show... how much people admire\n,48
0x277d82,Miss Munechika...,17
0x277d94,"Nosuri nods, a proud smile on her face.",39
0x277dbc,I would expect no less from her...\n,36
0x277de1,And I am proud to count her as a friend.,40
0x277e0a,I can count the number of times you've met her\n,48
0x277e3b,on one hand. When the hell did you become\n,43
0x277e67,friends?,8
0x277e70,"Oh, it's the princess.",22
0x277e87,Hm?,3
0x277e8b,"We look up to see Anju out on a balcony,\n",42
0x277eb6,high atop the palace.,21
0x277ecc,"She silently waves to the departing soldiers,\n",47
0x277efc,a number of retainers subtly flanking her.,42
0x277f27,"She must be out in public in the Mikado's stead,\n",50
0x277f5a,to send off the soldiers.,25
0x277f74,"When I see her like this, she really does look\n",48
0x277fa5,"like a princess. All pristine, and regal...",43
0x277fd1,Or at least the opposite of when she's\n,40
0x277ffa,lazing around with us. She looks like a\n,41
0x278024,totally different person.,25
0x27803e,I would've thought she'd make a fuss about\n,44
0x27806b,"Munechika leaving, but I guess not.",35
0x27808f,Of course she does. She is the imperial\n,41
0x2780b9,"princess, after all.",20
0x2780ce,Miss Anju... looks a little forlorn...,38
0x2780f5,I thought I saw Munechika mouth the words\n,43
0x278121,"""I have to go now.""",19
0x278135,And Anju... slightly nods.,26
0x278150,"Awww, and there goes Munechika.",31
0x278170,...Maybe later I'll buy some of that candy\n,44
0x27819d,the princess loves so much.,27
0x2781b9,"You may count on us to watch over the princess,\n",49
0x2781eb,Munechika.,10
0x2781f6,I pray for your safety...,25
0x278210,"Knowing Munechika, there's probably nothing to\n",48
0x278241,worry about.,12
0x27824e,I'm sure she wouldn't do something that would\n,47
0x27827e,make the princess sad.,22
0x278295,"How's it going, kid?",20
0x2782aa,So Lady Munechika has already left...,37
