offset,text_source,byte_budget
0x2c16cb,"Well, I daresay I wasn't expecting this...",42
0x2c16f6,Cripes. I didn't think they'd take off in such\n,48
0x2c1727,a hurry.,8
0x2c1730,The ships...,12
0x2c173d,Every last Yamatan ship moored in the bay is\n,46
0x2c176c,gone...,7
0x2c1774,...and the encampment on the shore has been\n,45
0x2c17a2,broken down and abandoned.,26
0x2c17bd,"Hahaha. It's actually a little impressive, how\n",48
0x2c17ee,empty this place became in such short a time.,45
0x2c181c,There were so many people here before...\n,42
0x2c1847,"It's a bit absurd, isn't it?",28
0x2c1864,"Now that I think about it, all the soldiers\n",45
0x2c1892,"here were under Raiko's command, right?",39
0x2c18ba,"If their general's gone back, I can hardly\n",44
0x2c18e7,blame 'em for following him.,28
0x2c1904,"Oh, dear, I don't even see Papa's ship...",41
0x2c192e,Hard to believe he'd leave Atuy behind.,39
0x2c1956,It's quite the grave circumstance. He likely\n,46
0x2c1985,"couldn't refuse, with pressure from the other\n",47
0x2c19b5,Pillars.,8
0x2c19be,That can't be...,16
0x2c19cf,We'll have to devise a way to return to Yamato\n,48
0x2c1a00,"on our own, then. There's a land bridge, right?",47
0x2c1a30,"Yes, I've heard there's an overland route as\n",46
0x2c1a5f,well...,7
0x2c1a67,"Hm. That path's dependent on the tides, so we'd\n",49
0x2c1a99,have to wait... about a month until it's\n,42
0x2c1ac4,usable.,7
0x2c1acc,I... see.,9
0x2c1ad6,"In any case, we should comb the beach. They\n",45
0x2c1b04,might have left some kind of message for us.,44
0x2c1b31,"Yeah, you're right.",19
0x2c1b45,No need for all that trotting around.\n,39
0x2c1b6d,Sorry to keep you lot waiting.,30
0x2c1b8c,Papa?,5
0x2c1b92,So you hid your ship here...,28
0x2c1baf,Nothing left in the bay to look after.\n,40
0x2c1bd8,"A damned shame, but abandoning it was the only\n",48
0x2c1c09,call we could make.,19
0x2c1c1d,"Why didn't you go back with the others, Papa?",45
0x2c1c4b,"What, and leave you lot out to dry?",35
0x2c1c6f,"Still, couldn't have my men out there in the\n",46
0x2c1c9e,"open. Exposed, undefended--aye, we'd be easy\n",46
0x2c1ccd,prey.,5
0x2c1cd3,So that's what happened.,24
0x2c1cec,"And with this, we can return to Yamato.",39
0x2c1d14,"How about Lady Munechika? She's not with you,\n",47
0x2c1d44,then?,5
0x2c1d4a,...She told us she'd stay behind to hold off\n,46
0x2c1d79,the enemy.,10
0x2c1d84,That she wouldn't leave her post until the rest\n,49
0x2c1db6,of us had gotten to safety...,29
0x2c1dd4,...Feh. That does sound like her.,33
0x2c1df6,Suppose the only thing to do is wait for her to\n,49
0x2c1e28,"catch up, then...",17
0x2c1e3a,You lot go on ahead to Yamato without me.\n,43
0x2c1e66,I'll send some of the boys along with you to\n,46
0x2c1e95,keep the ship running.,22
0x2c1eac,Thank you. You're very kind.,28
0x2c1ec9,"Papa, what do you plan to do from here?",39
0x2c1ef1,"Eh, well.",9
0x2c1efb,"Shyahoro swore fealty to the Mikado, not to\n",45
0x2c1f29,Yamato.,7
0x2c1f31,"So without the Mikado, I'm not beholden to any\n",48
0x2c1f62,"stuffy old court, now, am I?",28
0x2c1f83,"Of course, I've no intent to go declare war on\n",48
0x2c1fb4,Yamato or do anything stupid like that.,39
0x2c1fdc,"Aye, I suppose I'll just continue on protecting\n",49
0x2c200e,"these waters. That's what I've always done,\n",45
0x2c203c,and I'm not about to stop now.,30
0x2c205b,"The ocean's my home, after all.",31
0x2c207b,...I see.,9
0x2c2085,Still the same Papa I know and love.,36
0x2c20aa,Hahaha! You can drop by anytime you feel like\n,47
0x2c20da,giving your dear old dad a hug!,31
0x2c20fa,...I think I'll pass on that.,29
0x2c2118,"O-Oh. Right, then...",20
0x2c212d,...I see now.,13
0x2c213b,I think I understand why Soyankekur commands\n,46
0x2c216a,the respect he does.,20
0x2c217f,Wasn't expecting to return to Yamato for\n,42
0x2c21aa,"a reason like this, though...",29
0x2c21c8,"...wouldn't you agree, Bro?",27
0x2c21e4,...Haku?,8
