offset,text_source,byte_budget
0x3ac18,"It was around here, right?",26
0x3ac33,Villager,8
0x3ac3c,"Y-Yeah... Yeah, no doubt about it.",34
0x3ac5f,"The injured man's voice trembles, visions of\n",46
0x3ac8e,yesterday's encounter no doubt returning to his\n,49
0x3acc0,mind.,5
0x3acc6,"From the look of things, there don't seem to be any\n",53
0x3acfc,gigiri nearby...,16
0x3ad0d,All right. Everyone take a breather while we hash\n,51
0x3ad41,out our strategy.,17
0x3ad53,"At Ukon's command, his men break rank to take a\n",49
0x3ad85,"rest, sitting down and drinking from their flasks.",50
0x3adb8,"Maroro, I'll leave the briefing to you.",39
0x3ade0,Unnhhh...,9
0x3adea,"Despite Ukon's prompting, Maroro remains face-down\n",52
0x3ae1f,"on the ground, flat on his belly and groaning.",46
0x3ae4e,"Good grief. All right, I'll do it. This really\n",48
0x3ae7f,"isn't my strong suit, y'know...",31
0x3ae9f,"Ukon sighs and steps up beside a large, folded net\n",52
0x3aed4,"in the bed of the cart, patting it pointedly.",45
0x3af02,"All right, before anything else, we're gonna lay\n",50
0x3af35,out this net. And then...,25
0x3af4f,He knocks on a large container next to the net.,47
0x3af7f,We'll pour this stew of rotten meat over the whole\n,52
0x3afb4,thing.,6
0x3afbb,Urgh. I was wondering what the cart's cargo was.\n,50
0x3afee,So that's what was in there...,30
0x3b00d,Good thing that didn't spill on the journey up\n,48
0x3b03e,here. Yikes.,12
0x3b04b,Seems like rotting meat's their favorite. If all\n,50
0x3b07e,"goes as planned, it'll lure the gigiri in the area.",51
0x3b0b2,"Once they step on the net, it'll tangle their legs\n",52
0x3b0e7,and immobilize them.,20
0x3b0fc,"So, they're going to use a trap to eliminate them...\n",54
0x3b133,But...?,7
0x3b13b,"No, no, that's not going to work. Those monsters'll\n",53
0x3b171,tear through that flimsy net like it's nothing.,47
0x3b1a1,"Then Maroro'll hit 'em with a big one, and we'll be\n",53
0x3b1d7,stationed at the perimeter to catch any stragglers.,51
