offset,text_target
0x277219,A cidade está tomada por um burburinho de agitação e entusiasmo\n
0x277249,desde cedo pela manhã.
0x27725e,Hoje é o dia em que Munechika e os outros partem\n
0x277291,pela invasão de Tuskur.
0x2772ad,"Os músicos da corte, posicionados ao longo da via principal\n"
0x2772de,"portão, toquem uma melodia nobre e inspiradora."
0x277307,Soldados equipados com elaboradas armaduras de parada\n
0x277339,marchem em ritmo ordenado ao compasso da música.
0x27735f,O povo da cidade acena e aclama enquanto eles\n
0x27738f,vejam os soldados marcharem.
0x2773ae,Todos parecem certos de que Yamato voltará a ser\n
0x2773dd,"vitoriosa, e seus olhos brilham com\n"
0x277405,frenéticos.
0x277411,"Dekopompo, cujo exército lidera a marcha, se aproxima\n"
0x277440,os portões que levam pra fora da cidade.
0x277463,"...E vejo um homem deixar a procissão,\n"
0x277490,correndo em minha direção com lágrimas escorrendo pelo rosto\n
0x2774bf,escorrem pelo rosto.
0x2774c9,"Ó, Mestre Haku!"
0x2774d9,"Aqui, pode secar as lágrimas com isto."
0x277502,"Espera, isto é m--"
0x277514,"Ah, tu és muito bondoso... *Pfffbt*"
0x27753b,"Ugh, agora está coberto de ranho..."
0x27755c,Ugh...
0x277563,É melhor ir logo ou eles vão\n
0x277591,deixe você para trás.
0x2775a3,"P-Pela fé, eu sei, mas..."
0x2775c0,"Ai de mim, minha cruzada me leva além do vasto mar,\n"
0x2775f0,e já sinto meu coração pesar com nossa\n
0x277620,partida...
0x27762b,"Mesmo assim, você é o estrategista deles. Tem que manter\n"
0x27765b,levante a cabeça.
0x277669,"Sim, talvez, mas... no ardor da guerra\n"
0x277697,"passado, todos meus esforços foram em vão."
0x2776bd,"Em verdade, eu... sou assaltado pela dúvida, e\n"
0x2776e9,tomado pelo medo. Serei inapto para servir como\n
0x277713,estrategista...?
0x277721,Maro...
0x277729,Ouvi que Dekopompo botou toda a culpa pelos próprios\n
0x277755,erros na estratégia de Maroro durante a\n
0x277780,última guerra...
0x27778c,"Dá pena o Maroro, mas dessa vez ele vai\n"
0x2777bb,ter Munechika do lado. Tenho certeza de que não vai\n
0x2777ec,ficar tão ruim.
0x2777fa,Meu senhor pai ordenou a construção de mais um\n
0x277827,"armazém, para abrigar mercadorias de elevado preço\n"
0x277859,antiguidades...
0x277865,Pensais que outro golpe em meu salário marcaria\n
0x277896,como mais fatal que uma do machado do carrasco...
0x2778c6,Não sei o que dizer... A sua situação é tão pesada\n
0x2778f6,"como sempre, né?"
0x27790a,"Mas é melhor você ir logo. Nesse ritmo,\n"
0x277938,você realmente vai ser deixado para trás.
0x27795e,Ó... Tu dizes a verdade.
0x277976,"Saiba, Mestre Haku... meu coração clama ao\n"
0x2779a5,nossa despedida.
0x2779b3,"Até mais, Maro. Não vá aprontando nada\n"
0x2779e2,"imprudente, tá?"
0x2779f0,"Pode ir ser herói e ganhar toda a glória, mas\n"
0x277a1e,não faz sentido se você não voltar vivo.
0x277a4b,M-Mestre Haku...
0x277a5c,A gente vai tomar uma quando você voltar. Podemos\n
0x277a8d,"chamar o Ukon, todo mundo — vamos todos tomar\n"
0x277abc,tempo bom.
0x277ac7,"Ó, Mestre Haku, és um amigo que supera\n"
0x277af6,o mais querido de todos os amigos!
0x277b12,Eca! Me larga! Você está me enchendo de ranho por\n
0x277b42,mim!
0x277b46,"Heh, cara... Do jeito que está, vai perder a guerra\n"
0x277b76,taxa.
0x277b7c,A procissão avançou bastante desde\n
0x277bab,começamos a conversar com ele.
0x277bc8,Estes vivas...
0x277bd9,Entendi. Então ela estava trazendo a retaguarda.
0x277c01,Talvez eu vá pra frente do palácio.
0x277c32,"Ey. Parece que você chegou no tempo certo, Chefe."
0x277c60,Parece que você conseguiu!
0x277c77,Munechika está prestes a partir.
0x277c9a,Ah! Aí vem ela!
