offset,text_source,byte_budget
0xe6794,"Ah, the air's so fresh up here...",33
0xe67b6,Yes... It truly is.,19
0xe67ca,"After annihilating those guys, we find our way\n",48
0xe67fb,above ground and head down the mountain path.,45
0xe6829,Our destination ought to be near.,33
0xe684b,Let's see...,12
0xe6858,"I compare our surroundings to the map, and\n",44
0xe6885,"sure enough, the conifer used as a landmark\n",45
0xe68b3,is within sight.,16
0xe68c4,"Hey, Yuuri. Um... yeah. I...",28
0xe68e1,Yes?,4
0xe68e6,"You see, I...",13
0xe68f4,"I've... thought you were really, really dreamy...\n",51
0xe6928,ever since we first met.,24
0xe6941,"Huh? ...Ahahaha, I'm blushing. You flatter me!\n",48
0xe6972,No one's ever said anything like that to me\n,45
0xe69a0,before.,7
0xe69a8,Hmhm. They seem to be hitting it off...,39
0xe69d0,"Ah... By any chance, will Yuuri and Miss\n",42
0xe69fb,Atuy...?,8
0xe6a04,"I do wonder about that. As a princess, it would\n",49
0xe6a36,"ruffle feathers, but I don't think she cares\n",46
0xe6a65,much.,5
0xe6a6b,"If she wants to, then we should wish her well.",46
0xe6a9a,Now hold on! I-If we don't stop her from doing\n,48
0xe6acb,"something rash, there'll be consequences!",41
0xe6af5,I thought you were a strong and lovely woman\n,46
0xe6b24,"when we first met, to be honest, Atuy.",38
0xe6b4b,"I admire you, really.",21
0xe6b61,R-Really? Then--,16
0xe6b72,"Hey, looks like you made it safely.",35
0xe6b96,Ukon?,5
0xe6b9c,Ukon appears from behind the trees with a grin\n,48
0xe6bcd,plastered across his face.,26
0xe6be8,You're late. I was getting worried about you\n,46
0xe6c17,"kids, y'know?",13
0xe6c25,"Yeah, well. You could say, uh...\n",34
0xe6c48,We ran into some trouble.,25
0xe6c62,"Why are you here, dear brother?",31
0xe6c82,"Hm? Ah, I was escorting the other person.",41
0xe6cac,Yuuri!,6
0xe6cb3,Ah...,5
0xe6cb9,Nhalai!,7
0xe6cc1,"With a joyous look on her face, Yuuri casts\n",45
0xe6cef,off her aperyu and runs to the newcomer.,40
0xe6d18,...Huh?,7
0xe6d20,...HUH?,7
0xe6d28,A-A... a woman...?,18
0xe6d3b,"Are you safe? You're not hurt, are you?",39
0xe6d63,I'm fine. They protected me!,28
0xe6d80,I see... Good. That's good to hear.,35
0xe6da4,"Oh, so that's what...",21
0xe6dba,Dear sister?,12
0xe6dc7,...What?,8
0xe6dd0,Everyone... Thank you very much.,32
0xe6df1,I wouldn't have made it here without you to\n,45
0xe6e1f,protect me.,11
0xe6e2b,...\n,5
0xe6e31,"Allow me to express my gratitude, as well.\n",44
0xe6e5e,Thank you all very much.,24
0xe6e77,I intend to confront whatever the future holds\n,48
0xe6ea8,with Yuuri by my side. Together.,32
0xe6ec9,And I'll stick with him and be whatever support\n,49
0xe6efb,he needs.,9
0xe6f05,I see. Anything I can say is gonna come off\n,45
0xe6f33,"as cliched, so just... Take care, you two.",42
0xe6f5e,Yuuri & Nhalai,14
0xe6f6d,We will!,8
0xe6f76,Miss Atuy.,10
0xe6f81,Huh!?,5
0xe6f87,"Hearing your encouragement made me very happy,\n",48
0xe6fb8,Miss Atuy. I won't forget the kindness you\n,44
0xe6fe5,showed me.,10
0xe6ff0,"Thank you very, very much.",26
0xe700b,"U-Uhm. Yeah, sure...",20
0xe7020,"All right, you two. We should get going.",40
0xe7049,"Yes, let's be on our way.",25
0xe7063,"Miss Atuy, everyone, please take care.",38
0xe708a,"And with that, they all lived happily ever\n",44
0xe70b7,"after, huh? Let's go home, gang.",32
0xe70dc,...What's wrong? Why's everyone looking at me\n,47
0xe710c,like that?,10
0xe7117,She... had a lover.,19
0xe712b,"Not only that, but she was... a-a woman.",40
0xe7154,...Haku?,8
0xe715d,"Kuon's tail is swaying... And as ever, her\n",44
0xe718a,smile doesn't quite extend to her eyes.,39
0xe71b2,Everyone please stop looking at me like that.,45
0xe71e0,So you knew.,12
0xe71ed,"Haku, love? YOU JERK!!",22
0xe7204,*WHONK*,7
0xe720c,GYAH!!,6
