offset,text_source,byte_budget
0x16e45,Hahh... hah... phew...,22
0x16e5c,I-Is that... all of them?,25
0x16e76,"Kuon closes her eyes, straining her big ears as she\n",53
0x16eac,listens.,8
0x16eb5,...Yes... I don't think there are any more nearby.,50
0x16ee8,O-OK...,7
0x16ef0,I sag to the ground. ,21
0x16f06,Thought... I was gonna die there...,35
0x16f2a,Er... well done...?,19
0x16f3e,"Kuon offers me some kind of flask, seeing me\n",46
0x16f6d,seated and trying to catch my breath.,37
0x16f93,I take it with a grumble. Maybe I'm sulking\n,45
0x16fc1,a little.,9
0x16fcb,It wasn't anything like you said!,33
0x16fed,What I said?,12
0x16ffa,"Just a second ago! All that ""oh, just wave a\n",46
0x17029,"stick around, they'll scatter.""",31
0x17049,So much for scattering! They tried to maul me!\n,48
0x1707a,They didn't care about the damn stick--I could've\n,51
0x170ae,died!,5
0x170b4,But... I was telling the truth. ,32
0x170d5,"They try to ambush people, and they attack in\n",47
0x17105,"packs, but they're really not that big of a deal.",49
0x17137,That... wasn't a big deal?,26
0x17152,Kuon glances at me dubiously.,29
0x17170,"Haku, maybe you're a bit, ah...",31
0x17190,"Ah, no, never mind. I think.",28
0x171ad,"Not sure what she was about to say, but I'll act\n",50
0x171e0,"like I didn't hear. I've got a good guess, anyway...",52
0x17215,"You're still recovering, after all... Not quite\n",49
0x17247,back to normal. And you seemed unused to all this.,50
0x1727a,"Well, perhaps all you need is a bit of practice,\n",50
0x172ad,and you'll be driving them off easily.,38
0x172d4,Like I'd ever want to go through that again.,44
0x17301,"All right, we should get back on the road soon.",47
0x17331,"What, already!? Can't we just rest a little\n",45
0x1735f,longer...?,10
0x1736a,"My legs are weak, and they're shaking slightly.",47
0x1739a,"I wouldn't mind, but if we take much longer, the\n",50
0x173cd,sun will set. Are you OK with that?,35
0x173f1,"It'd mean we'd be traveling in darkness, and\n",46
0x17420,there's a good chance we'd run into more of\n,45
0x1744e,them.,5
0x17454,"I peer skyward, but... the sun is nowhere near\n",48
0x17485,the horizon.,12
0x17492,"And this village is... pretty close by,\n",41
0x174bc,you said?,9
0x174c6,"Right. Not much farther now, I think.",37
0x174f0,...Hm?,6
0x174f7,Kuon meets my eyes with a look of polite confusion.,51
0x1752b,She seems... honest enough... It'll be fine.\n,46
0x1755a,Just a little farther... that's all...,38
