offset,text_source,byte_budget
0x2bc43a,Our path back to Yamato is a short and quick\n,46
0x2bc469,one.,4
0x2bc46e,"This time, we don't have to avoid being seen by\n",49
0x2bc4a0,"the enemy or take winding, circuitous routes...",47
0x2bc4d0,"Instead, we push straight down the main road to\n",49
0x2bc502,"where the ships are moored, making quick time.",46
0x2bc531,Not even once do the soldiers of Tuskur harry\n,47
0x2bc561,us.,3
0x2bc565,"Munechika's news, Benawi's ominous words, and\n",47
0x2bc595,the withdrawal of the Tuskur army all weigh on\n,48
0x2bc5c6,my mind...,10
0x2bc5d1,They have to be connected. It's safe to assume\n,48
0x2bc602,Tuskur knows of the Mikado's death.,35
0x2bc626,Bro...,6
0x2bc62d,Are you really dead...?,23
0x2bc645,It just isn't hitting me like it's reality.,43
0x2bc671,He told me there was still so much he had to\n,46
0x2bc6a0,do...,5
0x2bc6a6,...and I doubt the princess is ready to take\n,46
0x2bc6d5,the throne just yet.,20
0x2bc6ea,There's just no way he'd up and die like this\n,47
0x2bc71a,for no reason.,14
0x2bc729,Gah. Obsessing about it isn't going to do me\n,46
0x2bc758,any good.,9
0x2bc762,I need to get back to Yamato as soon as I can.,46
0x2bc791,The bay where the ships are anchored is just\n,46
0x2bc7c0,a little further off...,23
0x2bc7d8,Someone mentioned that we can make it to shore\n,48
0x2bc809,by sunrise if we push onward through the night.,47
0x2bc839,"Still, we might be safe from enemy attacks, but\n",49
0x2bc86b,wild predators hunting by night are a very real\n,49
0x2bc89d,threat.,7
0x2bc8a5,We decide to set up camp on a riverbank close to\n,50
0x2bc8d8,the road and spend the night there.,35
0x2bc8fc,Dinner is an uncomplicated affair.,34
0x2bc91f,"We all surround the campfire and eat in silence,\n",50
0x2bc952,chewing on smoked meat we'd brought as rations.,47
0x2bc982,No one speaks.,14
0x2bc991,I can't remember the last time I had a quiet\n,46
0x2bc9c0,meal like this since meeting Kuon and the\n,43
0x2bc9ec,others...,9
0x2bc9f6,I guess it goes to show how heavy a shadow the\n,48
0x2bca27,Mikado's death has cast.,24
0x2bca40,"As soon as dinner is done, we decide on watch\n",47
0x2bca70,order as usual and everyone beds down for the\n,47
0x2bcaa0,night.,6
0x2bcaa7,Kuon and I have the first watch.,32
0x2bcac8,A sinking feeling grips my stomach as I stare\n,47
0x2bcaf8,into the fire...,16
0x2bcb09,This is going to be a long night.,33
0x2bcb2b,My thoughts turn to Munechika. I'm worried about\n,50
0x2bcb5e,"her, staying behind like that.",30
0x2bcb7d,"Undoubtedly, she would've liked nothing more\n",46
0x2bcbac,than to be on the first boat back to the\n,42
0x2bcbd7,mainland.,9
0x2bcbe5,It's hard to get my thoughts in order. As I\n,45
0x2bcc13,"throw another log on the fire, Kuon breaks the\n",48
0x2bcc44,silence.,8
0x2bcc4d,"I wasn't expecting this, to be honest.",38
0x2bcc74,Expecting what?,15
0x2bcc84,How much of an effect the Mikado's death is\n,45
0x2bccb2,having.,7
0x2bccba,"I guess you can't really help it. I mean, to\n",46
0x2bcce9,"the Yamatan people, he's their god.",35
0x2bcd0d,Hearing that the center of your religion is\n,45
0x2bcd3b,dead and gone... I can only imagine what that's\n,49
0x2bcd6d,like.,5
0x2bcd73,"Oh... No, that's not what I meant.",34
0x2bcd96,"What, then?",11
0x2bcda2,I was talking about how badly it's affecting\n,46
0x2bcdd1,YOU.,4
0x2bcdd6,...Me?,6
0x2bcddd,I... I guess it has been weighing on me.,40
0x2bce06,Haku?,5
0x2bce0c,I'm just... thinking about what's going to\n,44
0x2bce39,"happen next. Anything goes, now. Makes me\n",43
0x2bce65,uneasy.,7
0x2bce6d,Hm... I see.,12
0x2bce7a,I'm guessing the capital's in an uproar by this\n,49
0x2bceac,point.,6
0x2bceb3,I'd assume so.,14
0x2bcec2,I wonder how Oshtor and Mikazuchi are doing...,46
0x2bcef1,And how are Honoka and Anju taking this?,40
0x2bcf1a,Urgh. I can't let my thoughts go into a spiral\n,48
0x2bcf4b,like this.,10
0x2bcf56,...Haku.,8
0x2bcf5f,Kuon's kind voice cuts right through my\n,41
0x2bcf89,swirling thoughts.,18
0x2bcf9c,I'm sure Anju will be fine. She has Oshtor to\n,47
0x2bcfcc,look after her.,15
0x2bcfdc,I guess so.,11
0x2bcfe8,But it's not just about my brother and the\n,44
0x2bd015,"princess. Something else is eating at me, and\n",47
0x2bd045,I can't...,10
0x2bd050,...Hm?,6
0x2bd057,What is... There's an odd scent in the air.,43
0x2bd083,Master.,7
0x2bd08b,Bwuh!?,6
0x2bd092,I look over my shoulder to find the twins\n,43
0x2bd0be,standing behind me in the darkness.,35
0x2bd0e2,Don't scare me like that...,27
0x2bd0fe,Approaching.,12
0x2bd10b,Something... coarse? Something is drawing near.,47
0x2bd13b,Coarse?,7
0x2bd147,Kuon glares out into the darkness.,34
0x2bd16a,Something's here. An enemy!,27
0x2bd186,"Uruuru, Saraana, wake everyone up!",34
0x2bd1a9,Boss!,5
0x2bd1af,Where's the enemy!?,19
0x2bd1c3,The others leap from their tents with weapons\n,47
0x2bd1f3,in hand...,10
0x2bd1fe,Nosuri's eyes are the first to adjust. She\n,44
0x2bd22b,squints out into the darkness.,30
0x2bd24a,This isn't good. We've been surrounded!,39
0x2bd272,"As she speaks, multiple figures materialize\n",45
0x2bd2a0,from the shadows.,17
0x2bd2b2,Who the hell are they?,22
0x2bd2c9,"Are they bandits, or...?",24
0x2bd2e2,"No, that can't be it. They don't seem like\n",44
0x2bd30f,petty thieves.,14
0x2bd31e,I get a knot in my stomach just looking at them.\n,50
0x2bd351,They seem like something much more sinister.,44
0x2bd37e,These guys can't be--,21
0x2bd394,"You know them, Jachdwalt?",25
0x2bd3ae,Uzurushan assassins.,20
0x2bd3c3,Assassins...?,13
0x2bd3d1,Shadows.,8
0x2bd3da,"Ooh, that sounds like a good time.",34
0x2bd3fd,"""Good"" ain't the word I'd use, lady.\n",38
0x2bd424,We can't afford to take these guys lightly.,43
0x2bd450,"And something's... off. Usually, they stay\n",44
0x2bd47d,hidden. Strollin' up so brazenly isn't their\n,46
