offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAD112.DAT:8:0,AREAD112.DAT,8,0,"[14][80]@""W...[0B]Well? How do[01]you like being so[01]high up?[02]Pretty scary, isn't[01]it? You can still[01]quit if you want to!""",152,[14][80]
AREAD112.DAT:8:1,AREAD112.DAT,8,1,"[14][80]@""W...[0B]Well? How do[01]you like being so[01]high up?[02]Pretty scary, isn't[01]it? You can still[01]quit if you want to!""",152,[14][80]
AREAD112.DAT:8:4,AREAD112.DAT,8,4,"[0C]!Dodge Iggy's attacks by[01]pressing the ~ button[01]to jump.[02]If you can knock him off[01]the mast, you win!",141,
AREAD112.DAT:8:6,AREAD112.DAT,8,6,"[14][82]B""How do you like the[01]feel of the ocean[01]breeze on your face?""",89,[14][82]
AREAD112.DAT:8:7,AREAD112.DAT,8,7,"[14][82]B""All right then,[01]what's our heading?""",57,[14][82]
AREAD112.DAT:8:9,AREAD112.DAT,8,9,"[14][82]B""The Western[01]Continent, eh?[02]Well, we can't take[01]you there directly[01]by ship.""",111,[14][82]
AREAD112.DAT:8:10,AREAD112.DAT,8,10,"[14][82]B""But we can take you[01]to one of the islands[01]close by.[02]I've heard you can[01]walk over the tidal[02]flats from there to[01]the mainland.[02]I don't know if it's[01]true or not, but you[02]should be able to[01]find some way there.",293,[14][82]
AREAD112.DAT:8:11,AREAD112.DAT,8,11,"[14][82]B""It'll take us a few[01]days to get there,[02]so sit back, relax[01]and enjoy the trip!""",115,[14][82]
AREAD112.DAT:8:12,AREAD112.DAT,8,12,"[14][80]@""All clear!""",22,[14][80]
AREAD112.DAT:8:13,AREAD112.DAT,8,13,"[14][01][01]""It sure feels good[01]to be out on the[01]ocean like this,[02]doesn't it, [04]",99,[14][01]
AREAD112.DAT:8:18,AREAD112.DAT,8,18,"[0C][05][14][04][05]""There's something[01]chasing after us...[02]It looks like it's[01]hitting the ship.""",114,
AREAD112.DAT:8:19,AREAD112.DAT,8,19,"[0C][04][14][82]B""A whale?...Dolphin?[02]No, it's too[01]small...[01]What is that!?""",89,
AREAD112.DAT:8:20,AREAD112.DAT,8,20,"[0C][05][14][05][06]""Ha ha ha ha![02]Did you think I was[01]going to give up that[01]easily!?[02]It takes more than[01]that to get rid of[01]Kahn!""",160,
AREAD112.DAT:8:21,AREAD112.DAT,8,21,"[0C][05][14][05][06]""You may have beaten[01]me before, but if you[02]think I'm the same[01]man you've fought[01]in the past,[02]you're in for a big[01]surprise![02]Hrraaaarrrrh![01]Defend yourselves!""",226,
AREAD112.DAT:8:22,AREAD112.DAT,8,22,"[0C][8B][14][05][06]""Waaaaah!""[13]0[0C][03][14]A",30,
AREAD112.DAT:8:24,AREAD112.DAT,8,24,"[0C][02][14][82]B""He came to us a[01]while back, saying he[02]wanted to learn how[01]to be a sailor...[02]But as you can see,[01]all he was interested[02]in was getting into[01]fights.""",213,
AREAD112.DAT:8:25,AREAD112.DAT,8,25,"[0C][02][14][82]B""Getting whalloped by[01]you is just what he[02]needed, if you ask[01]me.""",99,
AREAD112.DAT:8:26,AREAD112.DAT,8,26,"[0C][02][14][82]B""I wouldn't worry[01]about him...[02]One of the dolphins[01]will probably help[02]him and take him[01]back to town...""",152,
AREAD112.DAT:8:27,AREAD112.DAT,8,27,"And so, for some time after[01]that,",47,
AREAD112.DAT:8:28,AREAD112.DAT,8,28,our ocean voyage,23,
AREAD112.DAT:8:29,AREAD112.DAT,8,29,continued without incident.,38,
AREAD112.DAT:8:31,AREAD112.DAT,8,31,"[14][02][02]""I wish I could tell[01]you there's nothing[01]to worry about,[02]but the wind's[01]stopped.[02]It shouldn't have,[01]though...Not here.""",171,[14][02]
AREAD112.DAT:8:33,AREAD112.DAT,8,33,"[0C][02][14][C1]@""Zig! I can see an[01]island ahead!""",54,
AREAD112.DAT:8:34,AREAD112.DAT,8,34,"[0C][06][14][80]@""Island? You[01]mean...?""",38,
AREAD112.DAT:8:35,AREAD112.DAT,8,35,"[14][02][02]""Yep...It looks like[01]we ended up exactly[02]where we don't want[01]to be...[02]Blast! How could[01]I have let this[01]happen!?""",162,[14][02]
AREAD112.DAT:8:36,AREAD112.DAT,8,36,"[14][82][02]""We've come close to[01]an island called the[01][05][02]Island of Fire[06].[02]The sea around here[01]is said to be haunted[02]by some kind of[01]monster...""",187,[14][82]
AREAD112.DAT:8:37,AREAD112.DAT,8,37,"[14][80]@""They say there's a[01]powerful spirit that[01]lives on the island.[02]And it can make the[01]wind stop, or cause[01]tidal waves.[02]A lot of ships have[01]been lost here!""",216,[14][80]
AREAD112.DAT:8:38,AREAD112.DAT,8,38,"[14][02][02]""So, until the god of[01]the island changes[02]his mind and makes[01]the wind blow again,[01]we're stuck here.""",143,[14][02]
AREAD112.DAT:8:39,AREAD112.DAT,8,39,"[0C][06][14][C1]@""Spirit? God of the[01]island?[02]What do you think,[01][04]",75,
AREAD112.DAT:8:40,AREAD112.DAT,8,40,"[0C][06][14][C1]@""Excuse me, Zig?[02]Do you think we could[01]go to this island?""",89,
AREAD112.DAT:8:41,AREAD112.DAT,8,41,"[14][02][02]""Well, I don't see[01]why not, but are you[01]sure you want to?[02]I mean, you heard[01]what we said, right?[02]I don't think it's[01]exactly a safe place,[01]you know?""",212,[14][02]
AREAD112.DAT:8:42,AREAD112.DAT,8,42,"[14][02][02]""If you really want[01]to go, we can let you[01]use the dingy.[02]Iggy![01]You go with them and[01]row the boat!""",142,[14][02]
AREAD112.DAT:8:43,AREAD112.DAT,8,43,"[14][80]@""Come talk to me when[01]you're ready to go[01]to the island.[02]I'll get the dingy[01]out for you.""",128,[14][80]
AREAD112.DAT:8:44,AREAD112.DAT,8,44,"[14][03][04]""Avatar?[02]I don't sense[01]anything like[01]that...""[02][14][06][07]""Says Deis.""",90,[14][03]
AREAD112.DAT:8:45,AREAD112.DAT,8,45,"[14][02][02]""If you want to go[01]to the island, use[01]the dingy.[02]Iggy will row it for[01]you.""",110,[14][02]
AREAD112.DAT:8:48,AREAD112.DAT,8,48,"[0C][04][14][80]@""You can go ashore[01]from this cove.""",57,
AREAD112.DAT:8:49,AREAD112.DAT,8,49,"[0C][04][14][80]@""I'll wait here for[01]you.[02]Come back here when[01]you're ready to go[01]back to the ship.""",122,
AREAD112.DAT:8:53,AREAD112.DAT,8,53,"[14][80]@""Do you want to go[01]back to the Island of[01]Fire?""[12]",72,[14][80]
AREAD112.DAT:8:54,AREAD112.DAT,8,54,"[0C][05][14][07][08]""Humans bring[01]sacrifice for[01]god?""",54,
AREAD112.DAT:8:55,AREAD112.DAT,8,55,"[0C][06][14][88]A""Um...[0B]H-hello...[02]Are you, um, the Sea[01]Dragon?""",73,
AREAD112.DAT:8:56,AREAD112.DAT,8,56,"[0C][06][14][C5]@""Deis is wondering if[01]this is even one of[01]the Endless...""",87,
AREAD112.DAT:8:57,AREAD112.DAT,8,57,"[0C][06][14][03][04]""Nope...It's not one[01]of the Endless.[02]It doesn't have the[01]right feel to it.""[02][14][09][09]""Says Deis.""",135,
AREAD112.DAT:8:58,AREAD112.DAT,8,58,"[0C][05][14][07][08]""Hom? You no got[01]sacrifice?[02]You talk funny--you[01]make fun of me![02]Me kill humans!""",119,
AREAD112.DAT:8:59,AREAD112.DAT,8,59,"[0C][06][14][83][04]""When the power of[01]the Endless increases[01]in the world,[02]it begins to affect[01]creatures sensitive[02]to their aura,[01]like that one.[02]They absorb some of[01]that power, and think[01]themselves gods.""",265,
AREAD112.DAT:8:60,AREAD112.DAT,8,60,"[0C][06][14][83][04]""And since [04]",24,
AREAD112.DAT:8:61,AREAD112.DAT,8,61,It looks like it's just a[01]rock.,44,
AREAD112.DAT:8:62,AREAD112.DAT,8,62,"[14][C1]@""Looks like the[01]wind's picked up[01]again.""",61,[14][C1]
AREAD112.DAT:8:63,AREAD112.DAT,8,63,"[0C][05][14][C5]@""Deis says,""[02][14][83]D""Anything that gets[01]affected by the aura[01]of the Endless like[02]that thing back on[01]the island is nothing[01]but trouble!""",191,
AREAD112.DAT:8:65,AREAD112.DAT,8,65,"[14][03][04]""Even a simple rock[01]can gain sentience[01]and move around like[02]that if exposed to[01]the aura of the[01]Endless long enough.""[02][14]E",171,[14][03]
AREAD112.DAT:8:68,AREAD112.DAT,8,68,"[0C]!You win if you can push[01]Iggy off the mast before[01]time runs out.[02]Press the [7F] button to jump.[01]If you jump on his head, it[01]will stun him for a moment.[02]Use the [81] button to build[01]up speed to ram him![02]Do you want to read the[01]instructions again?[12][02][0C][82]Yes[01]No",351,
AREAD112.DAT:8:69,AREAD112.DAT,8,69,"[0C]!You win if you can push[01]Iggy off the mast before[01]time runs out.[02]Press the [7F] button to jump.[01]If you jump on his head, it[01]will stun him for a moment.[02]Use the [81] button to build[01]up speed to ram him![02]Do you want to read the[01]instructions again?[12][02][0C][82]Yes[01]No",351,
AREAD112.DAT:8:70,AREAD112.DAT,8,70,"[0C]!You win if you can push[01]Iggy off the mast before[01]time runs out.[02]Press the [7F] button to jump.[01]If you jump on his head, it[01]will stun him for a moment.[02]Use the [81] button to build[01]up speed to ram him![02]Do you want to read the[01]instructions again?[12][02][0C][82]Yes[01]No",351,
AREAD112.DAT:8:71,AREAD112.DAT,8,71,[0C]![10][02]        TIME BONUS![01]        [05][02][07],50,
AREAD112.DAT:8:77,AREAD112.DAT,8,77,"[14][08][01]""I can't believe how[01]salty this sea air[01]is![02]What I wouldn't give[01]for a nice hot bath!""",125,[14][08]
AREAD112.DAT:8:78,AREAD112.DAT,8,78,"[14][02][02]""We should see Lyp[01]anytime now!""",50,[14][02]
AREAD112.DAT:8:79,AREAD112.DAT,8,79,"They would lose their power,",40,
AREAD112.DAT:8:80,AREAD112.DAT,8,80,"They would lose their power,",40,
AREAD112.DAT:8:81,AREAD112.DAT,8,81,"They would lose their power,",40,
AREAD112.DAT:8:82,AREAD112.DAT,8,82,and live out their lives as[01]ordinary mortals.,63,
