offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAD110.DAT:8:2,AREAD110.DAT,8,2,"[0C][02][14][80]@""What are we going to[01]do?[02]We can't go back,[01]and we can't go on,[01]either!""",108,
AREAD110.DAT:8:7,AREAD110.DAT,8,7,"[14][02][02]""Hmmm...You got a[01]point there...[02]Tell you what...[02]Seeing as you all[01]helped me out back[01]there,[02]I wanna try and[01]return the favor.""",184,[14][02]
AREAD110.DAT:8:8,AREAD110.DAT,8,8,"[14][80]@""...[0B]...""",17,[14][80]
AREAD110.DAT:8:9,AREAD110.DAT,8,9,"[14][02][02]""Lemme see...[02]Maybe...If you took[01]that road, you could[01]get past 'em...[02]Yeah, that's it![01]You can get to the[01]desert that way!""",178,[14][02]
AREAD110.DAT:8:10,AREAD110.DAT,8,10,"[14][C1]@""You mean...There's[01]another road!?""",54,[14][C1]
AREAD110.DAT:8:11,AREAD110.DAT,8,11,"[14][02][02]""Well, it's kinda[01]outta the way, but[01]if you head north,[02]go up to this big[01]town called [05][02]Chamba[06],[02]you can get to the[01]desert that way.""",191,[14][02]
AREAD110.DAT:8:12,AREAD110.DAT,8,12,"[14][C1]@""Really!? Oh, thank[01]you![02]That means I can get[01]back to where my[01]friend is waiting!""",119,[14][C1]
AREAD110.DAT:8:13,AREAD110.DAT,8,13,"[14][C1]@""We'll try that route[01]you mentioned. Thank[01]you again so much!""",92,[14][C1]
AREAD110.DAT:8:14,AREAD110.DAT,8,14,"[14][02][02]""No problem. Just[01]keep yer head low[02]and try not to get[01]caught, eh?""",99,[14][02]
AREAD110.DAT:8:15,AREAD110.DAT,8,15,"[14][02][02]""You should head for[01][05][02]Chamba[06]--[02]you can get to the[01]desert from there![02]If you don't hurry,[01]though,[02]them troops'll beat[01]you to it!""",187,[14][02]
AREAD110.DAT:8:16,AREAD110.DAT,8,16,"[0C][02][14][01][01]""[0A][02]kuwarakk""",24,
