offset,file,entry_idx,ptr_idx,text_en,byte_budget,speaker_code
AREAS008.DAT:8:5,AREAS008.DAT,8,5,"[14][01][01]""That armor we wear[01]to protect us from[02]the hex is really[01]heavy![02]Walking around in it[01]all day makes you[01]real hungry!""",167,[14][01]
AREAS008.DAT:8:6,AREAS008.DAT,8,6,"[14][02][02]""Uhhh...I don't feel[01]so good...[02]Maybe the hex got[01]to me...""",87,[14][02]
AREAS008.DAT:8:7,AREAS008.DAT,8,7,"[14][03][03]""See that fellow[01]standing there, in[01]front of the pot?[02]That's our boss,[01]Tahb.""",113,[14][03]
AREAS008.DAT:8:8,AREAS008.DAT,8,8,"[14][04][04]""Way I figure it, the[01]hex is like someone[01]talking bad about you.[02]I mean, when someone[01]says something bad,[02]you don't feel too[01]good, right?[02]So a hex is like[01]that, except lots[01]more powerful, see?""",275,[14][04]
AREAS008.DAT:8:9,AREAS008.DAT,8,9,"[14][05][05]""The hex the Empire[01]makes is like this[01]black mist...[02]And there's all sorts[01]of nasty stuff like[02]wraiths and specters[01]inside of it...[02]Even the smallest[01]exposure to it[02]without protection[01]is lethal!""",278,[14][05]
AREAS008.DAT:8:10,AREAS008.DAT,8,10,"[14][06][06]""This ain't a[01]place for women[01]and children...[02]Don't you know it's[01]been hexed!?",114,[14][06]
AREAS008.DAT:8:12,AREAS008.DAT,8,12,"[0C][04][14][C1]@""We need to get[01]through Chamba.[02]Is there any way we[01]can do that before[01]the hex disappears?""",135,
AREAS008.DAT:8:17,AREAS008.DAT,8,17,"[0C][04][14][C1]@""So all we need is a[01]guide, then?""[0B][0B][0B][15][12]",62,
AREAS008.DAT:8:20,AREAS008.DAT,8,20,"[14][04][04]""You want to go[01]through the hex?[01]Without any armor!?[02]Are you kidding!? You[01]wouldn't last five[01]seconds in there!""",162,[14][04]
AREAS008.DAT:8:21,AREAS008.DAT,8,21,"[14][05][05]""Well, there are some[01]places where the hex[02]is getting thin and[01]wearing off...[02]Nah, forget it--it's[01]too dangerous!""",164,[14][05]
AREAS008.DAT:8:22,AREAS008.DAT,8,22,"[14][06][06]""You want me to take[01]you through the hex?[02]Humph! You don't know[01]it like I do...[02]If you did, you'd[01]know better than to[01]even ask.""",184,[14][06]
AREAS008.DAT:8:23,AREAS008.DAT,8,23,"[14][07][07]""Everyone is all out[01]working.[02][19]",48,[14][07]
AREAS008.DAT:8:25,AREAS008.DAT,8,25,"[14][04][04]""What!? You're going[01]through with it!?[02]All right...It's your[01]choice, but don't say[01]I didn't warn you.""",148,[14][04]
AREAS008.DAT:8:26,AREAS008.DAT,8,26,"[14][04][04]""They're your[01]responsibility,[01][04][05].[02]You'd better take[01]good care of them!""",104,[14][04]
AREAS008.DAT:8:27,AREAS008.DAT,8,27,"[14][05][05]""Any exposure to the[01]mist is dangerous...[02]It can poison you, or[01]do funny things to[01]your head...[02]And sometimes, it'll[01]just plain kill you![02]No matter what you[01]do, stay away from[01]the mist!""",265,[14][05]
AREAS008.DAT:8:28,AREAS008.DAT,8,28,"[14][05][05]""Just because you're[01]safe, [04][05], don't[01]forget they're not.[02]Make sure you protect[01]them--got it?""",135,[14][05]
AREAS008.DAT:8:29,AREAS008.DAT,8,29,"[14][06][06]""You're going to have[01][04][05] guide you[01]through the mist!?[02]You must be pretty[01]brave to try[01]something like that!""",155,[14][06]
AREAS008.DAT:8:30,AREAS008.DAT,8,30,"[14][06][06]""I always knew you[01]were a funny one...[02]Figures you'd take[01]this job!""",100,[14][06]
AREAS008.DAT:8:31,AREAS008.DAT,8,31,"[14][08][08]""The center of[01]Chamba is pretty[01]confusing...[02]Make sure you don't[01]get lost.""",110,[14][08]
AREAS008.DAT:8:32,AREAS008.DAT,8,32,"[14][08][08]""Just make sure you[01]get them out alive,[01]eh [04][05]?""",71,[14][08]
AREAS008.DAT:8:33,AREAS008.DAT,8,33,"""If you want to sleep, I[01]can let you use one of[01]these beds.""[12][86][0C][93]Rest[01]Diary[01]Never mind",119,
AREAS008.DAT:8:34,AREAS008.DAT,8,34,"[14][01][01]""Everyone's out[01]working.[02]Me? I, uh...[0B]I'm[01]sick.""",72,[14][01]
