offset,text_source,byte_budget
0xda853,Phew...,7
0xda85b,I lean back from the notebook to crack my\n,43
0xda887,"shoulders, finished with my reading and\n",41
0xda8b1,writing for the day.,20
0xda8c6,"It's a pain in the ass, but I really shouldn't\n",48
0xda8f7,be illiterate.,14
0xda906,I glance to the side...,23
0xda91e,Hrm... ah...,12
0xda92b,"Kuon sits beside me, working through her own\n",46
0xda95a,daily exercises from that arithmetic workbook.,46
0xda989,I guess it's good that she's finally giving it\n,48
0xda9ba,"some attention, but what brought this on?",41
0xda9e4,"Mm... hm. I worked pretty hard, so I think I'll\n",49
0xdaa16,just call it here for today...,30
0xdaa39,We briefly exchange looks.,26
0xdaa54,"Ahem. Maybe I'll do one or two more, actually.",46
0xdaa83,I somehow manage to refrain from observing it's\n,49
0xdaab5,only been an hour since she started.,36
0xdaada,"Sir Haku, Miss Kuon, the tea is ready...",40
0xdab03,"Ah, just when I was getting thirsty, too.\n",43
0xdab2f,"Thanks, Rulutieh.",17
0xdab41,"Mm, thank you.",14
0xdab50,"I accept the offered teacup, steam rising from\n",48
0xdab81,its contents.,13
0xdab8f,"Ahh, that's the good stuff.",27
0xdabab,A single sip of the tea is all it takes for an\n,48
0xdabdc,"indescribably sweet, brisk flavor to overcome\n",47
0xdac0c,my mouth.,9
0xdac16,It goes without saying that Rulutieh's tea\n,44
0xdac43,tastes great. It's so...calming.,32
0xdac64,Mm! This is delicious. You always serve us\n,44
0xdac91,"something superb, Rulutieh.",27
0xdacad,Th-Thank you......,18
0xdacc0,"I wonder why that is. I can brew a good cup,\n",46
0xdacef,"but no matter what I try, I never get on\n",42
0xdad1a,Rulutieh's level.,17
0xdad2c,"I'm making it exactly the way my mother did,\n",46
0xdad5b,so...,5
0xdad61,"Well, I kind of understand why. Kuon's cuisine,\n",49
0xdad93,"be it food or tea, always comes out a bit...\n",46
0xdadc2,haphazard?,10
0xdadcd,"It doesn't taste bad, but it's like a man's\n",45
0xdadfb,cooking. Just kind of mediocre.,31
0xdae1b,"Hey, love, you around?",22
0xdae32,Eep!,4
0xdae37,"Ah, there you are. Thought I might find you\n",45
0xdae65,"here, love.",11
0xdae71,Atuy?,5
0xdae77,"Oh, the girl from the other day...",34
0xdae9a,"Oh? Who's this cute girl, here?",31
0xdaeba,Huh? U-Um...?,13
0xdaec8,"Hey, love. Is THIS one your lover?",34
0xdaeeb,"Quit taking everything there. No, she's not,\n",46
0xdaf1a,I'm sorry to say.,17
0xdaf2c,"Aw, so she isn't? I missed my chance to hear\n",46
0xdaf5b,about the good stuff again...,29
0xdaf79,This is Rulutieh. She's a friend of mine.,41
0xdafa3,"I-I'm R-Rulutieh, yes...\n",26
0xdafbe,Nice to meet you.,17
0xdafd0,"Is that right? Aw, how polite you are, though!\n",48
0xdb001,"I'm Atuy. It's nice to meet you too, Rulie.",43
0xdb02d,Ru...lie?,9
0xdb037,"You aren't seriously going to call her Rulie,\n",47
0xdb067,are you?,8
0xdb070,"So, what's up? What brings you here all of a\n",46
0xdb09f,sudden?,7
0xdb0a7,"I had nothing better to do, so I decided to\n",45
0xdb0d5,"come down for a visit! Hey, what's that\n",41
0xdb0ff,"you're d--{W350}oh, ew.",23
0xdb117,Atuy takes one look at my desk and pulls a\n,44
0xdb144,disgusted face.,15
0xdb154,You're studying...,18
0xdb167,"The expression on her face is, suffice it to\n",46
0xdb196,"say, not one a sweet young maiden should ever\n",47
0xdb1c6,make.,5
0xdb1cc,I hate studying.,16
0xdb1dd,"Really? I couldn't tell at all... Yeah, no, I\n",47
0xdb20d,pretty much got that immediately.,33
0xdb22f,"Hey, why don't you just leave all that behind?\n",48
0xdb260,Let's go hang out somewhere!,28
0xdb27d,"Huh? Uh, I'm not sure I can. This stuff is\n",44
0xdb2aa,kinda important.,16
0xdb2bb,I don't want to be stuck studying any more than\n,49
0xdb2ed,"she does, but basic reading and writing are\n",45
0xdb31b,critical.,9
0xdb325,"And with Kuon pushing herself to work, I'd just\n",49
0xdb357,feel ashamed to flake out now.,30
0xdb376,I'm not sticking around just to watch her\n,43
0xdb3a2,squirm and annoy her. Nope. Not at all.,39
0xdb3ca,"Yeah. We might as well, so why don't we all\n",45
0xdb3f8,go out somewhere together?,26
0xdb413,--Welp.,7
0xdb41b,It goes against my principles not to take her\n,47
0xdb44b,up on it after she made the time to come see\n,46
0xdb47a,us.,3
0xdb47e,"What principles are those, exactly?",35
0xdb4a2,"Kuon doesn't have an answer for that one,\n",43
0xdb4ce,suddenly looking everywhere but at me.,38
0xdb4f5,It's obvious that she just wants an excuse to\n,47
0xdb525,be free of her studies right now.,33
0xdb547,Usually I'm the one slacking off. This is a bit\n,49
0xdb579,of an unsettling reversal.,26
0xdb594,Atuy...,7
0xdb59c,Kuon?,5
0xdb5a2,The two lock eyes...,20
0xdb5b7,Kuon & Atuy,11
0xdb5c3,We're friends.,14
0xdb5d2,"And then they exchange a firm, enthusiastic\n",45
0xdb600,handshake.,10
0xdb60b,"You really hate studying that much, huh?",40
0xdb634,"...And what, pray tell, is going on in here?",44
0xdb661,"Nekone hovers in the doorway, watching the\n",44
0xdb68e,handshake with an awkward expression.,37
0xdb6b4,"My, you're just swimming in cuties. Who's this\n",48
0xdb6e5,"girl, then? Are you lost, sweetie?",34
0xdb708,...Who is this subtly rude woman?,33
0xdb72a,"Uh, don't mind her. Did he say anything?",40
0xdb753,I asked Nekone to give a periodic report to\n,45
0xdb781,"Oshtor, which it seems she's just returned\n",44
0xdb7ae,from.,5
0xdb7b4,Lord Oshtor summons you. He wishes to ask a\n,45
0xdb7e2,favor.,6
0xdb7e9,Oshtor wants a favor?,21
0xdb7ff,"She explicitly used Oshtor's name, not Ukon's...\n",50
0xdb832,"Must be something important, then.",34
0xdb855,Oshtor?,7
0xdb85d,"Like, Oshtor, ""Imperial Guard of the Right""\n",45
0xdb88b,Oshtor? Half of the Twin Shields Oshtor?,40
0xdb8b4,"...As I was saying, who is this, precisely?",43
0xdb8e0,"I'm Atuy. But hey, you DO mean that Oshtor,\n",45
0xdb90e,right? Oshtor the Imperial Guard?,33
0xdb930,Are you an acquaintance of his?,31
0xdb950,"Uh, that's...",13
0xdb95e,"Crap, we probably shouldn't talk about this\n",45
0xdb98c,with outsiders around. Our work with him is\n,45
0xdb9ba,still secret.,13
0xdb9c8,"Acquaintances... Well, not quite.\n",35
0xdb9ec,We're his undercover agents.,28
0xdba09,Wh--,4
0xdba0e,Huh...,6
0xdba15,Dear sister?,12
0xdba22,Why are you disclosing that so casually?\n,42
0xdba4d,That can't be all right.,24
0xdba66,"Oh, is that so? Tell me. This Imperial Guard guy.\n",51
